id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,11.5,5,0.6,0.7,a,0.8,FWD,ARS
2,Gabriel dos Santos Magalhães,62,46.3,43,4.3,1.3,a,1.04,DEF,ARS
3,Kai Havertz,81,70.4,45,4.5,1.7,d,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,27.0,22,2.8,1.0,a,1.06,DEF,ARS
6,Jorge Luiz Frello Filho,48,2.7,4,1.3,0.0,a,1.17,MID,ARS
7,Jakub Kiwior,48,1.7,3,0.8,0.3,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,69,54.9,39,3.9,1.7,a,1.04,MID,ARS
9,Ethan Nwaneri,45,5.0,5,1.0,1.0,a,0.0,MID,ARS
10,Martin Ødegaard,82,17.0,7,2.3,0.0,a,1.07,MID,ARS
11,David Raya Martin,56,26.8,40,4.0,1.3,a,1.0,GKP,ARS
12,Declan Rice,63,45.2,17,1.9,3.0,d,1.06,MID,ARS
13,Bukayo Saka,101,112.0,65,7.2,3.7,a,1.09,MID,ARS
14,William Saliba,60,15.8,21,2.3,-0.3,a,1.08,DEF,ARS
15,Thomas Partey,50,35.0,29,2.9,2.0,a,1.02,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,i,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,69,39.0,30,3.0,2.3,a,1.11,MID,ARS
19,Benjamin White,62,17.4,26,3.2,1.7,a,0.89,DEF,ARS
20,Oleksandr Zinchenko,48,2.7,8,2.7,0.3,a,0.84,DEF,ARS
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,6.7,4,1.0,0.3,n,1.49,MID,ARS
23,Riccardo Calafiori,58,26.2,14,2.3,0.3,i,0.94,DEF,ARS
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.3,a,0.0,MID,ARS
25,Mikel Merino,60,17.9,12,3.0,3.7,a,1.04,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
