id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,8.6,4,0.7,0.8,a,1.02,FWD,ARS
2,Gabriel dos Santos Magalhães,63,42.4,40,5.0,2.8,a,1.0,DEF,ARS
3,Kai Havertz,83,63.6,42,5.2,4.5,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,21.8,19,3.2,1.5,d,1.0,DEF,ARS
6,Jorge Luiz Frello Filho,48,2.7,4,2.0,0.5,a,1.2,MID,ARS
7,Jakub Kiwior,48,1.1,2,0.7,0.5,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,70,49.4,35,4.4,6.2,a,0.97,MID,ARS
9,Ethan Nwaneri,45,4.2,3,1.0,0.5,a,0.0,MID,ARS
10,Martin Ødegaard,82,17.0,7,2.3,0.0,i,1.07,MID,ARS
11,David Raya Martin,57,22.5,37,4.6,2.0,a,1.0,GKP,ARS
12,Declan Rice,63,30.7,10,1.4,1.8,a,1.08,MID,ARS
13,Bukayo Saka,101,101.4,54,7.7,5.8,d,1.11,MID,ARS
14,William Saliba,60,13.4,19,2.4,0.0,s,1.09,DEF,ARS
15,Thomas Partey,50,27.3,25,3.1,1.8,a,1.02,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,i,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.2,i,0.0,DEF,ARS
18,Leandro Trossard,69,35.7,26,3.2,3.5,a,1.11,MID,ARS
19,Benjamin White,63,10.3,21,3.5,0.2,a,0.91,DEF,ARS
20,Oleksandr Zinchenko,48,1.8,7,3.5,0.0,a,1.15,DEF,ARS
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,6.7,4,1.0,0.8,a,1.49,MID,ARS
23,Riccardo Calafiori,58,26.2,14,2.3,3.0,a,0.94,DEF,ARS
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
25,Mikel Merino,60,7.7,3,1.5,0.8,a,0.83,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,63,21.9,14,2.0,3.0,a,1.32,MID,AVL
34,Ross Barkley,52,14.3,10,1.4,1.3,a,0.4,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,53,1.3,4,1.0,0.7,a,0.0,MID,AVL
37,Matty Cash,44,5.2,11,2.8,2.7,a,1.3,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,6.4,11,2.8,3.0,a,0.78,DEF,AVL
41,Lucas Digne,46,29.7,28,3.5,4.0,a,1.18,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,62,28.4,28,3.5,1.0,a,0.0,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
45,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
47,Boubacar Kamara,50,0.0,0,0.0,0.0,a,0.0,MID,AVL
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
49,Ezri Konsa Ngoyo,45,20.1,17,2.4,0.7,a,1.14,DEF,AVL
50,Ian Maatsen,48,12.0,7,1.0,0.7,a,0.0,DEF,AVL
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
52,Emiliano Martínez Romero,50,19.1,28,3.5,6.3,a,1.0,GKP,AVL
53,John McGinn,52,10.4,10,1.7,0.3,a,1.26,MID,AVL
54,Tyrone Mings,44,0.0,0,0.0,0.0,a,0.0,DEF,AVL
55,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL
56,Robin Olsen,45,0.0,0,0.0,0.0,i,0.0,GKP,AVL
57,Pau Torres,45,15.5,16,2.0,3.0,a,1.0,DEF,AVL
58,Jacob Ramsey,54,26.1,18,2.6,2.3,a,0.86,MID,AVL
59,Morgan Rogers,54,47.9,34,4.2,5.3,a,1.05,MID,AVL
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
62,Youri Tielemans,55,48.2,30,3.8,4.3,a,1.01,MID,AVL
63,Ollie Watkins,91,55.8,49,6.1,7.0,a,1.19,FWD,AVL
64,Amadou Onana,51,28.2,27,3.9,1.3,a,1.27,MID,AVL
65,Jaden Philogene,53,2.2,3,0.6,0.7,s,0.56,MID,AVL
66,Lamare Bogarde,40,4.4,2,1.0,0.0,a,1.07,DEF,AVL
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
70,Max Aarons,43,0.0,0,0.0,0.0,a,0.0,DEF,BOU
71,Tyler Adams,49,0.0,0,0.0,0.0,a,0.0,MID,BOU
72,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
73,David Brooks,49,2.0,1,1.0,0.3,a,0.0,MID,BOU
74,Ryan Christie,49,27.4,18,2.2,3.3,a,1.12,MID,BOU
75,Lewis Cook,50,46.7,27,3.4,5.0,a,1.01,MID,BOU
76,Enes Ünal,54,7.2,5,1.0,1.0,a,0.0,FWD,BOU
77,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU
78,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
79,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU
80,Daniel Jebbison,45,1.6,2,1.0,0.0,u,0.0,FWD,BOU
81,Milos Kerkez,44,21.3,17,2.1,3.3,a,1.08,DEF,BOU
82,Justin Kluivert,53,36.1,23,2.9,4.3,a,1.11,MID,BOU
83,Chris Mepham,44,0.0,0,0.0,0.0,u,0.0,DEF,BOU
84,Dango Ouattara,50,26.8,20,2.9,4.0,a,0.84,MID,BOU
85,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU
86,Philip Billing,48,1.4,2,1.0,0.0,a,0.0,MID,BOU
87,Alex Scott,48,15.8,11,1.4,1.7,a,0.7,MID,BOU
88,Antoine Semenyo,56,58.5,33,4.1,3.7,a,1.03,MID,BOU
89,Marcos Senesi,48,21.2,15,2.5,4.0,a,1.03,DEF,BOU
90,Luis Sinisterra,50,37.2,19,2.4,1.0,a,0.44,MID,BOU
91,Adam Smith,45,6.5,15,1.9,1.7,a,0.97,DEF,BOU
92,Marcus Tavernier,55,63.0,27,3.4,3.0,a,1.09,MID,BOU
93,Mark Travers,44,1.4,2,2.0,0.0,a,1.0,GKP,BOU
94,Illia Zabarnyi,44,15.2,18,2.2,3.3,a,1.0,DEF,BOU
95,Kepa Arrizabalaga,45,13.8,17,3.4,3.3,a,1.0,GKP,BOU
96,Dean Huijsen,44,7.5,3,1.0,0.0,a,0.93,DEF,BOU
97,Julián Araujo Zúñiga,45,4.8,7,1.2,0.3,a,1.14,DEF,BOU
98,Will Dennis,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU
99,Francisco Evanilson de Lima Barbosa,59,26.5,22,3.1,5.3,a,1.23,FWD,BOU
100,Kristoffer Ajer,45,15.9,7,0.9,0.7,a,1.13,DEF,BRE
101,Ethan Brierley,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
102,Nathan Collins,45,44.4,26,3.2,4.3,a,1.0,DEF,BRE
103,Mikkel Damsgaard,50,44.2,27,3.4,6.0,a,0.98,MID,BRE
104,Josh Dasilva,48,0.0,0,0.0,0.0,i,0.0,MID,BRE
105,Mark Flekken,45,34.1,23,2.9,2.7,a,1.0,GKP,BRE
106,Rico Henry,43,0.0,0,0.0,0.0,i,0.0,DEF,BRE
107,Aaron Hickey,44,0.0,0,0.0,0.0,i,0.0,DEF,BRE
108,Vitaly Janelt,49,21.1,19,2.4,2.7,a,1.14,MID,BRE
109,Mathias Jensen,53,12.9,9,3.0,0.0,d,1.13,MID,BRE
110,Kim Ji-soo,39,0.0,0,0.0,0.0,a,0.0,DEF,BRE
111,Yunus Emre Konak,45,0.4,3,1.0,0.7,a,0.0,MID,BRE
112,Keane Lewis-Potter,50,28.6,19,2.4,2.7,a,1.04,MID,BRE
113,Bryan Mbeumo,76,76.9,53,6.6,6.3,a,1.0,MID,BRE
114,Ben Mee,43,0.0,1,1.0,0.0,a,0.0,DEF,BRE
115,Christian Nørgaard,48,25.3,15,2.5,2.7,a,1.03,MID,BRE
116,Frank Onyeka,49,0.0,2,1.0,0.0,u,0.0,MID,BRE
117,Myles Peart-Harris,45,0.0,0,0.0,0.0,u,0.0,MID,BRE
118,Ethan Pinnock,45,42.4,20,2.5,5.3,a,1.0,DEF,BRE
119,Mads Roerslev Rasmussen,44,5.1,8,1.1,0.7,a,0.68,DEF,BRE
120,Kevin Schade,53,18.7,16,2.0,1.7,a,1.01,MID,BRE
121,Igor Thiago Nascimento Rodrigues,59,0.0,0,0.0,0.0,i,0.0,FWD,BRE
122,Ivan Toney,73,0.0,0,0.0,0.0,u,0.0,FWD,BRE
123,Hákon Valdimarsson,40,0.0,0,0.0,0.0,a,0.0,GKP,BRE
124,Yoane Wissa,59,34.1,29,5.8,0.3,a,1.15,FWD,BRE
125,Yehor Yarmoliuk,44,6.2,5,1.0,0.7,a,0.71,MID,BRE
126,Mathias Jorgensen,45,0.0,0,0.0,0.0,u,0.0,DEF,BRE
127,Fábio Freitas Gouveia Carvalho,48,19.6,19,2.4,4.3,a,0.71,MID,BRE
128,Sepp van den Berg,40,16.5,7,1.2,1.3,a,0.98,DEF,BRE
129,Ryan Trevitt,45,0.3,1,1.0,0.0,a,0.0,MID,BRE
130,Gustavo Nunes Fernandes Gomes,49,0.0,0,0.0,0.0,i,0.0,MID,BRE
131,Jayden Meghoma,40,0.0,0,0.0,0.0,a,0.0,DEF,BRE
132,Tony Yogane,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
133,Simon Adingra,54,14.0,14,2.8,0.5,a,0.67,MID,BHA
134,Benicio Baker-Boaitey,45,0.0,0,0.0,0.0,u,0.0,MID,BHA
135,Carlos Baleba,50,25.4,24,3.4,4.5,a,1.1,MID,BHA
136,Valentín Barco,40,0.0,0,0.0,0.0,u,0.0,DEF,BHA
137,Amario Cozier-Duberry,45,0.0,0,0.0,0.0,u,0.0,MID,BHA
138,Mahmoud Dahoud,49,0.0,0,0.0,0.0,u,0.0,MID,BHA
139,Lewis Dunk,45,21.2,22,2.8,1.5,a,1.02,DEF,BHA
140,Julio Enciso,54,11.1,6,1.0,0.8,a,0.0,MID,BHA
141,Pervis Estupiñán,50,17.1,3,0.6,0.5,a,0.71,DEF,BHA
142,Evan Ferguson,55,1.5,4,1.0,0.8,a,1.11,FWD,BHA
143,Billy Gilmour,50,2.5,3,1.5,0.0,u,0.93,MID,BHA
144,Pascal Groß,65,0.0,0,0.0,0.0,u,0.0,MID,BHA
145,Jack Hinshelwood,50,26.7,25,3.1,4.0,a,1.03,MID,BHA
146,Ibrahim Osman,50,0.0,0,0.0,0.0,u,0.0,MID,BHA
147,Igor Julio dos Santos de Paulo,44,3.6,7,2.3,1.8,a,0.44,DEF,BHA
148,João Pedro Junqueira de Jesus,54,24.6,19,4.8,0.2,i,0.96,FWD,BHA
149,Kacper Kozłowski,45,0.0,0,0.0,0.0,u,0.0,MID,BHA
150,Tariq Lamptey,44,0.0,0,0.0,0.0,a,0.0,DEF,BHA
151,Solly March,65,0.0,0,0.0,0.0,d,0.0,MID,BHA
152,Adrian Mazilu,45,0.0,0,0.0,0.0,u,0.0,MID,BHA
153,James Milner,50,10.7,5,1.7,0.0,i,1.6,MID,BHA
154,Yankuba Minteh,54,32.6,21,3.0,2.2,d,1.11,MID,BHA
155,Mitoma Kaoru,66,53.8,32,4.0,3.2,a,0.97,MID,BHA
156,Jakub Moder,44,0.0,0,0.0,0.0,a,0.0,MID,BHA
157,Mark O’Mahony,45,0.0,0,0.0,0.0,u,0.0,FWD,BHA
158,Odeluga Offiah,40,0.0,0,0.0,0.0,u,0.0,DEF,BHA
159,Cameron Peupion,45,0.0,0,0.0,0.0,a,0.0,MID,BHA
160,Jeremy Sarmiento Morante,49,0.1,1,1.0,0.0,u,0.0,MID,BHA
161,Jason Steele,44,4.1,9,4.5,0.0,a,1.0,GKP,BHA
162,Deniz Undav,55,0.0,0,0.0,0.0,u,0.0,FWD,BHA
163,Jan Paul van Hecke,45,15.4,20,3.3,1.2,a,0.98,DEF,BHA
