id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
211,Nicolas Jackson,82,105.7,78,6.0,5.0,a,1.14,FWD,CHE
212,Christopher Nkunku,58,34.5,30,2.3,4.0,a,0.66,MID,CHE
213,Cole Palmer,110,147.2,107,7.6,6.2,a,1.04,MID,CHE
214,Đorđe Petrović,44,0.0,0,0.0,0.0,u,0.0,GKP,CHE
215,Renato Palma Veiga,45,5.9,6,1.0,0.2,a,0.51,MID,CHE
216,Robert Sánchez,48,35.4,52,4.0,2.5,a,1.0,GKP,CHE
217,Tosin Adarabioyo,42,7.3,9,1.8,0.5,a,1.03,DEF,CHE
218,Wesley Fofana,45,28.7,19,1.6,1.2,i,1.06,DEF,CHE
219,Jadon Sancho,62,30.3,29,3.6,2.5,a,1.13,MID,CHE
220,Pedro Lomba Neto,62,47.2,28,2.3,3.0,a,0.84,MID,CHE
221,Caleb Wiley,40,0.0,0,0.0,0.0,u,0.0,DEF,CHE
222,Filip Jørgensen,42,2.7,3,3.0,0.8,a,1.0,GKP,CHE
223,João Félix Sequeira,61,26.2,17,2.1,2.0,a,0.62,MID,CHE
224,Eddie Nketiah,59,29.3,14,1.6,0.5,a,1.08,FWD,CRY
225,Trevoh Chalobah,44,30.2,28,3.5,2.2,a,1.03,DEF,CRY
226,Naouirou Ahamada,45,0.0,0,0.0,0.0,u,0.0,MID,CRY
227,Cheick Doucouré,49,4.8,10,1.4,0.8,a,1.14,MID,CRY
228,Chris Richards,44,7.1,11,1.8,0.5,a,1.02,DEF,CRY
229,Chadi Riad Dnanou,43,2.0,1,1.0,0.0,i,1.0,DEF,CRY
230,Nathaniel Clyne,44,5.1,13,2.2,0.8,a,0.92,DEF,CRY
231,Malcolm Ebiowei,45,0.0,0,0.0,0.0,u,0.0,MID,CRY
232,Eberechi Eze,66,84.9,39,3.5,2.0,a,1.04,MID,CRY
233,Marc Guéhi,45,63.4,47,3.4,2.8,a,1.0,DEF,CRY
234,Dean Henderson,44,37.0,52,3.7,4.5,a,1.0,GKP,CRY
235,Rob Holding,43,0.0,0,0.0,0.0,a,0.0,DEF,CRY
236,Will Hughes,49,32.0,15,1.2,1.5,a,0.89,MID,CRY
237,Daichi Kamada,51,34.1,14,1.3,-0.2,a,1.02,MID,CRY
238,Jefferson Lerma Solís,48,17.8,12,1.2,0.8,a,0.94,MID,CRY
239,Jean-Philippe Mateta,72,62.7,50,3.6,4.2,a,1.06,FWD,CRY
240,Matheus França de Oliveira,44,0.0,0,0.0,0.0,i,0.0,MID,CRY
241,Remi Matthews,40,0.0,0,0.0,0.0,a,0.0,GKP,CRY
242,Tyrick Mitchell,49,50.0,33,2.4,2.0,a,1.04,DEF,CRY
