id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,55,0.0,0,0.0,0.0,d,0.0,MID,ARS
1,Gabriel Fernando de Jesus,70,0.1,0,0.0,0.0,a,0.0,FWD,ARS
2,Gabriel dos Santos Magalhães,60,2.3,6,6.0,6.0,a,1.0,DEF,ARS
3,Kai Havertz,80,12.5,12,12.0,12.0,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,0.8,1,1.0,1.0,a,0.0,DEF,ARS
6,Jorge Luiz Frello Filho,50,0.0,0,0.0,0.0,a,0.0,MID,ARS
7,Jakub Kiwior,50,0.0,0,0.0,0.0,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,70,7.5,3,3.0,3.0,a,1.0,MID,ARS
9,Reiss Nelson,50,0.0,0,0.0,0.0,a,0.0,MID,ARS
10,Eddie Nketiah,60,0.0,0,0.0,0.0,a,0.0,FWD,ARS
11,Ethan Nwaneri,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
12,Martin Ødegaard,85,5.4,3,3.0,3.0,a,1.0,MID,ARS
13,Aaron Ramsdale,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
14,David Raya Martin,55,2.8,8,8.0,8.0,a,1.0,GKP,ARS
15,Declan Rice,65,2.8,3,3.0,3.0,a,1.07,MID,ARS
16,Bukayo Saka,100,20.4,12,12.0,12.0,a,1.14,MID,ARS
17,William Saliba,60,1.6,6,6.0,6.0,a,1.0,DEF,ARS
18,Thomas Partey,50,5.9,3,3.0,3.0,a,1.0,MID,ARS
19,Kieran Tierney,45,0.0,0,0.0,0.0,i,0.0,DEF,ARS
20,Tomiyasu Takehiro,50,0.0,0,0.0,0.0,i,0.0,DEF,ARS
21,Leandro Trossard,70,0.5,1,1.0,1.0,a,0.0,MID,ARS
22,Benjamin White,65,1.5,6,6.0,6.0,a,1.0,DEF,ARS
23,Oleksandr Zinchenko,50,1.8,6,6.0,6.0,a,1.32,DEF,ARS
24,Riccardo Calafiori,60,0.0,0,0.0,0.0,a,0.0,DEF,ARS
25,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
26,Álex Moreno Lopera,45,0.0,0,0.0,0.0,a,0.0,DEF,AVL
27,Leon Bailey,65,4.2,1,1.0,1.0,a,1.23,MID,AVL
28,Ross Barkley,55,0.0,0,0.0,0.0,a,0.0,MID,AVL
29,Enzo Barrenechea,50,0.0,0,0.0,0.0,a,0.0,MID,AVL
30,Emiliano Buendía Stati,55,0.0,0,0.0,0.0,a,0.0,MID,AVL
31,Matty Cash,45,2.3,2,2.0,2.0,a,1.11,DEF,AVL
32,Leander Dendoncker,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
33,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
34,Diego Carlos Santos Silva,45,0.0,0,0.0,0.0,a,0.0,DEF,AVL
35,Lucas Digne,45,3.4,2,2.0,2.0,a,1.23,DEF,AVL
36,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
37,Jhon Durán,60,6.0,6,6.0,6.0,a,0.0,FWD,AVL
38,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
39,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
40,Samuel Iling-Junior,55,0.0,0,0.0,0.0,a,0.0,MID,AVL
41,Boubacar Kamara,50,0.0,0,0.0,0.0,i,0.0,MID,AVL
42,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
43,Ezri Konsa Ngoyo,45,3.5,2,2.0,2.0,a,1.0,DEF,AVL
44,Ian Maatsen,50,1.9,1,1.0,1.0,a,0.0,DEF,AVL
45,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
46,Emiliano Martínez Romero,50,2.6,3,3.0,3.0,a,1.0,GKP,AVL
47,John McGinn,55,1.9,2,2.0,2.0,a,1.48,MID,AVL
48,Tyrone Mings,45,0.0,0,0.0,0.0,i,0.0,DEF,AVL
49,Kosta Nedeljković,40,0.5,1,1.0,1.0,a,0.0,DEF,AVL
50,Robin Olsen,45,0.0,0,0.0,0.0,d,0.0,GKP,AVL
51,Pau Torres,45,3.1,2,2.0,2.0,a,1.0,DEF,AVL
52,Jacob Ramsey,55,3.8,4,4.0,4.0,a,0.0,MID,AVL
53,Morgan Rogers,50,5.7,2,2.0,2.0,a,1.0,MID,AVL
54,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
55,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
56,Youri Tielemans,55,7.9,7,7.0,7.0,a,1.0,MID,AVL
57,Ollie Watkins,90,0.3,2,2.0,2.0,a,1.48,FWD,AVL
58,Amadou Onana,50,8.6,10,10.0,10.0,a,1.0,MID,AVL
59,Jaden Philogene,55,0.5,0,0.0,0.0,a,0.0,MID,AVL
60,Lamare Bogarde,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
61,Max Aarons,45,0.0,0,0.0,0.0,a,0.0,DEF,BOU
62,Tyler Adams,50,0.0,0,0.0,0.0,i,0.0,MID,BOU
63,Jaidon Anthony,45,0.0,0,0.0,0.0,a,0.0,MID,BOU
64,David Brooks,50,0.0,0,0.0,0.0,i,0.0,MID,BOU
65,Ryan Christie,50,0.7,1,1.0,1.0,a,0.0,MID,BOU
66,Lewis Cook,50,2.7,1,1.0,1.0,a,1.08,MID,BOU
67,Enes Ünal,55,0.0,0,0.0,0.0,i,0.0,FWD,BOU
68,Romain Faivre,50,0.0,0,0.0,0.0,a,0.0,MID,BOU
69,Hamed Traorè,45,0.0,0,0.0,0.0,a,0.0,MID,BOU
70,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU
71,Daniel Jebbison,45,1.6,1,1.0,1.0,a,0.0,FWD,BOU
72,Milos Kerkez,45,2.7,1,1.0,1.0,a,1.0,DEF,BOU
73,Justin Kluivert,55,1.5,0,0.0,0.0,a,0.0,MID,BOU
74,Chris Mepham,45,0.0,0,0.0,0.0,a,0.0,DEF,BOU
75,Norberto Murara Neto,45,4.7,4,4.0,4.0,a,1.0,GKP,BOU
76,Dango Ouattara,50,2.2,2,2.0,2.0,a,1.32,MID,BOU
77,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU
78,Philip Billing,50,0.4,1,1.0,1.0,a,0.0,MID,BOU
79,Alex Scott,50,3.6,2,2.0,2.0,a,1.45,MID,BOU
80,Antoine Semenyo,55,9.9,8,8.0,8.0,a,1.0,MID,BOU
81,Marcos Senesi,50,0.0,0,0.0,0.0,a,0.0,DEF,BOU
