id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,16.9,8,0.7,1.0,a,0.79,FWD,ARS
2,Gabriel dos Santos Magalhães,62,59.7,60,4.6,4.8,d,1.08,DEF,ARS
3,Kai Havertz,79,79.1,52,4.3,2.0,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,37.8,31,2.8,2.5,a,1.05,DEF,ARS
6,Jorge Luiz Frello Filho,47,5.8,6,1.2,0.5,a,1.25,MID,ARS
7,Jakub Kiwior,48,2.7,5,0.8,0.5,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,69,64.0,47,4.3,2.5,a,1.06,MID,ARS
9,Ethan Nwaneri,45,12.1,12,1.7,2.0,a,0.0,MID,ARS
10,Martin Ødegaard,83,47.6,28,4.7,5.2,a,1.09,MID,ARS
11,David Raya Martin,55,31.7,50,3.8,3.2,a,1.0,GKP,ARS
12,Declan Rice,62,52.8,21,1.9,1.5,a,1.07,MID,ARS
13,Bukayo Saka,103,148.5,98,8.2,8.8,a,1.11,MID,ARS
14,William Saliba,60,24.8,31,2.6,3.0,a,1.06,DEF,ARS
15,Thomas Partey,50,42.4,39,3.2,3.0,d,0.97,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,a,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,68,61.7,46,3.5,4.5,a,1.07,MID,ARS
19,Benjamin White,61,21.3,27,3.0,0.5,i,0.91,DEF,ARS
20,Oleksandr Zinchenko,48,5.9,10,2.0,0.8,a,0.55,DEF,ARS
21,Norberto Murara Neto,42,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,11.3,9,1.5,1.2,a,1.25,MID,ARS
23,Riccardo Calafiori,58,29.4,20,2.5,1.5,a,1.07,DEF,ARS
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.0,a,0.0,MID,ARS
25,Mikel Merino,60,22.2,16,2.7,1.2,d,0.98,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,63,31.3,24,2.0,1.5,a,1.19,MID,AVL
34,Ross Barkley,52,36.1,25,2.5,2.5,a,0.46,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,52,2.9,5,0.8,0.2,a,0.0,MID,AVL
37,Matty Cash,44,13.0,14,1.8,0.5,a,1.12,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,13.6,12,1.7,0.2,a,0.81,DEF,AVL
41,Lucas Digne,47,51.3,39,3.0,1.0,a,1.13,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,58,36.3,33,2.5,1.0,a,0.0,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
45,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
47,Boubacar Kamara,50,2.1,4,1.0,0.8,a,0.96,MID,AVL
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
49,Ezri Konsa Ngoyo,44,29.3,21,1.9,0.5,a,1.09,DEF,AVL
50,Ian Maatsen,46,21.2,9,0.9,0.2,a,0.41,DEF,AVL
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
52,Emiliano Martínez Romero,50,30.9,35,2.7,1.2,d,1.04,GKP,AVL
53,John McGinn,52,27.9,22,2.0,2.5,a,1.14,MID,AVL
54,Tyrone Mings,44,0.0,0,0.0,0.0,a,0.0,DEF,AVL
55,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL
56,Robin Olsen,45,1.8,1,1.0,0.2,a,0.0,GKP,AVL
57,Pau Torres,44,27.5,21,1.6,0.8,a,1.0,DEF,AVL
58,Jacob Ramsey,54,33.7,22,2.2,0.8,i,1.0,MID,AVL
59,Morgan Rogers,53,68.4,49,3.8,3.5,a,1.12,MID,AVL
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
62,Youri Tielemans,55,86.5,39,3.0,2.0,a,1.01,MID,AVL
63,Ollie Watkins,90,83.0,64,4.9,3.2,a,1.15,FWD,AVL
64,Amadou Onana,49,41.7,31,3.1,1.0,d,1.28,MID,AVL
65,Jaden Philogene,53,6.2,7,0.8,1.0,a,0.67,MID,AVL
66,Lamare Bogarde,40,5.1,2,0.7,0.0,a,1.27,DEF,AVL
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
70,Ben Broggio,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
71,Max Aarons,43,0.3,1,1.0,0.2,a,0.0,DEF,BOU
72,Tyler Adams,49,10.1,7,1.4,1.5,a,1.07,MID,BOU
73,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
74,David Brooks,49,14.4,13,2.2,2.8,a,0.74,MID,BOU
75,Ryan Christie,49,39.3,25,2.1,1.2,a,1.14,MID,BOU
76,Lewis Cook,50,62.9,37,3.1,2.0,d,1.01,MID,BOU
77,Enes Ünal,54,12.8,13,1.3,1.8,a,0.53,FWD,BOU
78,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU
79,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
80,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU
81,Daniel Jebbison,45,1.6,2,1.0,0.0,u,0.0,FWD,BOU
82,Milos Kerkez,44,50.0,38,2.9,4.8,a,1.07,DEF,BOU
83,Justin Kluivert,53,80.2,57,4.4,8.0,a,1.17,MID,BOU
84,Chris Mepham,44,0.0,0,0.0,0.0,u,0.0,DEF,BOU
85,Dango Ouattara,50,33.3,24,2.4,0.5,a,0.78,MID,BOU
86,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU
87,Philip Billing,48,2.1,3,1.0,0.2,a,0.0,MID,BOU
88,Alex Scott,47,15.8,11,1.4,0.0,i,0.7,MID,BOU
