id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,10.9,4,0.6,0.7,a,0.97,FWD,ARS
2,Gabriel dos Santos Magalhães,62,42.9,41,4.6,1.3,d,1.05,DEF,ARS
3,Kai Havertz,82,68.3,44,4.9,4.0,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,24.6,21,3.0,0.7,a,1.03,DEF,ARS
6,Jorge Luiz Frello Filho,48,2.7,4,2.0,0.7,a,1.2,MID,ARS
7,Jakub Kiwior,48,1.7,3,0.8,0.7,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,70,53.3,37,4.1,3.0,a,0.99,MID,ARS
9,Ethan Nwaneri,45,4.6,4,1.0,0.7,a,0.0,MID,ARS
10,Martin Ødegaard,82,17.0,7,2.3,0.0,i,1.07,MID,ARS
11,David Raya Martin,56,24.5,37,4.1,1.0,a,1.0,GKP,ARS
12,Declan Rice,63,37.9,15,1.9,3.0,a,1.07,MID,ARS
13,Bukayo Saka,100,107.3,63,7.9,8.3,a,1.11,MID,ARS
14,William Saliba,60,13.4,19,2.4,-0.3,a,1.09,DEF,ARS
15,Thomas Partey,50,30.3,27,3.0,2.0,a,1.02,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,i,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.3,i,0.0,DEF,ARS
18,Leandro Trossard,69,37.0,28,3.1,2.0,a,1.09,MID,ARS
19,Benjamin White,63,14.7,25,3.6,1.3,d,0.92,DEF,ARS
20,Oleksandr Zinchenko,48,1.8,7,3.5,0.0,a,1.15,DEF,ARS
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,6.7,4,1.0,0.7,a,1.49,MID,ARS
23,Riccardo Calafiori,58,26.2,14,2.3,1.0,i,0.94,DEF,ARS
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.3,a,0.0,MID,ARS
25,Mikel Merino,60,15.8,11,3.7,3.7,a,0.9,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,63,24.8,18,2.2,2.7,a,1.26,MID,AVL
34,Ross Barkley,52,24.8,15,1.9,2.7,a,0.33,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,53,1.3,4,1.0,0.3,a,0.0,MID,AVL
37,Matty Cash,44,8.4,12,2.4,3.0,a,1.23,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,6.4,11,2.8,2.7,a,0.78,DEF,AVL
41,Lucas Digne,47,33.8,35,3.9,6.3,a,1.19,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,61,31.3,29,3.2,1.0,a,0.0,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
45,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
47,Boubacar Kamara,50,0.2,1,1.0,0.3,a,0.0,MID,AVL
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
49,Ezri Konsa Ngoyo,45,24.2,19,2.4,1.0,a,1.12,DEF,AVL
50,Ian Maatsen,48,13.1,8,1.0,0.7,a,0.0,DEF,AVL
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
52,Emiliano Martínez Romero,50,20.9,30,3.3,6.3,a,1.0,GKP,AVL
53,John McGinn,52,12.2,12,1.7,1.0,a,1.27,MID,AVL
54,Tyrone Mings,44,0.0,0,0.0,0.0,a,0.0,DEF,AVL
55,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL
56,Robin Olsen,45,0.0,0,0.0,0.0,a,0.0,GKP,AVL
57,Pau Torres,45,18.8,18,2.0,3.3,a,1.0,DEF,AVL
58,Jacob Ramsey,54,30.7,19,2.4,2.0,a,0.89,MID,AVL
59,Morgan Rogers,54,49.8,35,3.9,3.3,a,1.09,MID,AVL
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
62,Youri Tielemans,55,57.3,31,3.4,4.0,a,1.01,MID,AVL
63,Ollie Watkins,91,64.5,51,5.7,4.0,a,1.18,FWD,AVL
64,Amadou Onana,50,32.8,27,3.4,0.7,a,1.33,MID,AVL
65,Jaden Philogene,53,2.2,3,0.6,0.3,a,0.56,MID,AVL
66,Lamare Bogarde,40,4.4,2,1.0,0.0,a,1.07,DEF,AVL
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
70,Max Aarons,43,0.0,0,0.0,0.0,a,0.0,DEF,BOU
71,Tyler Adams,49,0.1,1,1.0,0.3,a,0.0,MID,BOU
72,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
73,David Brooks,49,2.2,2,1.0,0.7,a,0.0,MID,BOU
74,Ryan Christie,49,29.5,20,2.2,3.3,a,1.12,MID,BOU
75,Lewis Cook,50,50.0,29,3.2,2.3,a,1.01,MID,BOU
76,Enes Ünal,54,7.9,6,1.0,1.0,a,0.74,FWD,BOU
77,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU
78,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
79,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU
80,Daniel Jebbison,45,1.6,2,1.0,0.0,u,0.0,FWD,BOU
81,Milos Kerkez,44,25.8,19,2.1,3.7,a,1.08,DEF,BOU
82,Justin Kluivert,53,37.4,25,2.8,4.7,a,1.15,MID,BOU
83,Chris Mepham,44,0.0,0,0.0,0.0,u,0.0,DEF,BOU
84,Dango Ouattara,50,30.2,22,2.8,2.0,a,0.87,MID,BOU
85,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU
86,Philip Billing,48,1.4,2,1.0,0.0,a,0.0,MID,BOU
87,Alex Scott,48,15.8,11,1.4,1.3,i,0.7,MID,BOU
88,Antoine Semenyo,56,62.7,34,3.8,1.7,a,1.03,MID,BOU
89,Marcos Senesi,48,24.1,17,2.4,4.0,a,1.02,DEF,BOU
90,Luis Sinisterra,50,37.2,19,2.4,0.7,d,0.44,MID,BOU
91,Adam Smith,45,8.2,16,1.8,1.3,a,0.84,DEF,BOU
92,Marcus Tavernier,55,67.7,30,3.3,2.7,a,1.04,MID,BOU
93,Mark Travers,44,6.6,7,3.5,1.7,a,1.0,GKP,BOU
94,Illia Zabarnyi,44,17.6,20,2.2,3.3,a,1.0,DEF,BOU
95,Kepa Arrizabalaga,45,13.8,17,3.4,2.7,d,1.0,GKP,BOU
96,Dean Huijsen,43,7.5,3,1.0,0.0,a,0.93,DEF,BOU
97,Julián Araujo Zúñiga,44,4.9,7,1.0,0.3,a,1.3,DEF,BOU
98,Will Dennis,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU
99,Francisco Evanilson de Lima Barbosa,59,32.2,30,3.8,5.0,a,1.17,FWD,BOU
100,Kristoffer Ajer,45,15.9,7,0.9,0.0,d,1.13,DEF,BRE
101,Ethan Brierley,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
102,Nathan Collins,45,47.3,27,3.0,4.0,a,1.0,DEF,BRE
103,Mikkel Damsgaard,50,53.0,29,3.2,5.7,a,1.0,MID,BRE
104,Josh Dasilva,48,0.0,0,0.0,0.0,i,0.0,MID,BRE
105,Mark Flekken,45,36.4,24,2.7,2.3,a,1.0,GKP,BRE
106,Rico Henry,43,0.0,0,0.0,0.0,d,0.0,DEF,BRE
107,Aaron Hickey,44,0.0,0,0.0,0.0,i,0.0,DEF,BRE
108,Vitaly Janelt,49,26.9,24,2.7,3.7,a,1.12,MID,BRE
109,Mathias Jensen,53,14.7,10,2.5,0.3,a,1.08,MID,BRE
110,Kim Ji-soo,39,0.0,0,0.0,0.0,a,0.0,DEF,BRE
111,Yunus Emre Konak,45,0.4,3,1.0,0.3,a,0.0,MID,BRE
112,Keane Lewis-Potter,50,33.1,24,2.7,4.0,a,1.05,MID,BRE
113,Bryan Mbeumo,77,90.0,68,7.6,8.3,a,1.0,MID,BRE
114,Ben Mee,43,0.0,1,1.0,0.0,a,0.0,DEF,BRE
115,Christian Nørgaard,48,27.4,17,2.4,3.3,a,1.04,MID,BRE
116,Frank Onyeka,49,0.0,2,1.0,0.0,u,0.0,MID,BRE
117,Myles Peart-Harris,45,0.0,0,0.0,0.0,u,0.0,MID,BRE
118,Ethan Pinnock,45,48.4,21,2.3,5.0,a,1.0,DEF,BRE
119,Mads Roerslev Rasmussen,44,15.6,12,1.5,2.0,a,0.76,DEF,BRE
120,Kevin Schade,52,19.9,17,1.9,1.7,a,0.98,MID,BRE
121,Igor Thiago Nascimento Rodrigues,59,0.0,0,0.0,0.0,i,0.0,FWD,BRE
122,Ivan Toney,73,0.0,0,0.0,0.0,u,0.0,FWD,BRE
123,Hákon Valdimarsson,40,0.0,0,0.0,0.0,a,0.0,GKP,BRE
124,Yoane Wissa,60,44.0,39,6.5,3.7,a,1.11,FWD,BRE
125,Yehor Yarmoliuk,44,6.2,5,1.0,0.7,a,0.71,MID,BRE
126,Mathias Jorgensen,45,0.0,0,0.0,0.0,u,0.0,DEF,BRE
127,Fábio Freitas Gouveia Carvalho,48,19.6,20,2.2,2.7,a,0.68,MID,BRE
128,Sepp van den Berg,40,22.8,8,1.1,1.0,a,0.98,DEF,BRE
129,Ryan Trevitt,45,0.3,1,1.0,0.0,a,0.0,MID,BRE
130,Gustavo Nunes Fernandes Gomes,49,0.0,0,0.0,0.0,i,0.0,MID,BRE
131,Jayden Meghoma,40,0.0,0,0.0,0.0,a,0.0,DEF,BRE
