id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,7.9,3,0.6,0.8,a,1.15,FWD,ARS
2,Gabriel dos Santos Magalhães,62,39.6,39,5.6,6.2,a,1.0,DEF,ARS
3,Kai Havertz,83,61.9,40,5.7,4.5,d,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,21.8,19,3.2,2.8,d,1.0,DEF,ARS
6,Jorge Luiz Frello Filho,48,2.7,4,2.0,1.0,a,1.2,MID,ARS
7,Jakub Kiwior,48,0.8,2,1.0,0.5,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,70,46.8,34,4.9,6.8,a,1.03,MID,ARS
9,Ethan Nwaneri,45,4.1,2,1.0,0.5,a,0.0,MID,ARS
10,Martin Ødegaard,82,17.0,7,2.3,0.0,i,1.07,MID,ARS
11,David Raya Martin,56,21.3,36,5.1,4.0,a,1.0,GKP,ARS
12,Declan Rice,63,24.6,8,1.3,1.2,a,1.1,MID,ARS
13,Bukayo Saka,101,101.4,54,7.7,7.5,a,1.11,MID,ARS
14,William Saliba,60,13.4,22,3.1,2.0,a,1.0,DEF,ARS
15,Thomas Partey,50,26.4,23,3.3,2.0,a,1.02,MID,ARS
16,Kieran Tierney,44,0.0,0,0.0,0.0,i,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.2,a,0.0,DEF,ARS
18,Leandro Trossard,69,34.6,23,3.3,3.5,a,1.05,MID,ARS
19,Benjamin White,63,9.1,21,4.2,1.8,d,0.89,DEF,ARS
20,Oleksandr Zinchenko,48,1.8,7,3.5,0.0,d,1.15,DEF,ARS
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,n,1.0,GKP,ARS
22,Raheem Sterling,67,5.5,3,1.0,0.8,a,1.06,MID,ARS
23,Riccardo Calafiori,58,22.8,13,2.6,2.8,a,0.92,DEF,ARS
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
25,Mikel Merino,60,3.4,1,1.0,0.2,a,0.0,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,63,18.9,13,2.2,2.2,a,1.29,MID,AVL
34,Ross Barkley,52,12.0,9,1.5,1.8,a,0.43,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,53,1.0,3,1.0,0.8,a,0.0,MID,AVL
37,Matty Cash,44,4.1,9,3.0,1.5,a,1.45,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,4.9,9,3.0,2.2,a,0.7,DEF,AVL
41,Lucas Digne,46,25.4,24,3.4,3.2,a,1.22,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,62,27.9,27,3.9,3.2,a,0.0,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
