id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,3.0,2,0.5,0.7,a,0.0,FWD,ARS
2,Gabriel dos Santos Magalhães,62,37.2,37,6.2,7.7,a,1.0,DEF,ARS
3,Kai Havertz,82,48.4,32,5.3,3.3,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,21.8,19,3.2,3.7,d,1.0,DEF,ARS
6,Jorge Luiz Frello Filho,49,0.2,2,2.0,0.7,a,1.0,MID,ARS
7,Jakub Kiwior,48,0.5,1,1.0,0.3,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,70,39.1,28,4.7,7.0,a,1.1,MID,ARS
9,Ethan Nwaneri,45,4.1,2,1.0,0.7,a,0.0,MID,ARS
10,Martin Ødegaard,82,17.0,7,2.3,0.0,i,1.07,MID,ARS
11,David Raya Martin,56,20.5,34,5.7,4.7,a,1.0,GKP,ARS
12,Declan Rice,63,16.7,6,1.2,1.0,a,1.12,MID,ARS
13,Bukayo Saka,101,76.7,38,6.3,4.7,a,1.13,MID,ARS
14,William Saliba,60,11.5,20,3.3,2.0,a,1.0,DEF,ARS
15,Thomas Partey,50,21.5,21,3.5,2.0,a,1.01,MID,ARS
16,Kieran Tierney,44,0.0,0,0.0,0.0,i,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,0.0,0,0.0,0.0,d,0.0,DEF,ARS
18,Leandro Trossard,69,28.5,22,3.7,4.3,a,1.15,MID,ARS
19,Benjamin White,64,9.1,21,4.2,2.3,d,0.89,DEF,ARS
20,Oleksandr Zinchenko,48,1.8,7,3.5,0.0,i,1.15,DEF,ARS
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,1.0,2,1.0,0.7,a,0.0,MID,ARS
23,Riccardo Calafiori,58,19.5,11,2.8,3.0,a,0.88,DEF,ARS
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
25,Mikel Merino,60,0.0,0,0.0,0.0,a,0.0,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Leon Bailey,64,16.8,10,2.0,2.0,d,1.26,MID,AVL
33,Ross Barkley,52,8.2,7,1.4,1.7,a,0.0,MID,AVL
34,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
35,Emiliano Buendía Stati,53,1.0,3,1.0,1.0,a,0.0,MID,AVL
36,Matty Cash,44,2.6,3,1.5,0.0,a,1.88,DEF,AVL
37,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
38,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Diego Carlos Santos Silva,45,3.3,3,1.5,1.0,a,1.0,DEF,AVL
40,Lucas Digne,46,22.5,16,2.7,1.7,a,1.24,DEF,AVL
41,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
42,Jhon Durán,62,26.7,26,4.3,4.0,a,0.0,FWD,AVL
43,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
44,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
45,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
46,Boubacar Kamara,50,0.0,0,0.0,0.0,i,0.0,MID,AVL
47,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
48,Ezri Konsa Ngoyo,45,20.1,16,2.7,3.7,a,1.0,DEF,AVL
49,Ian Maatsen,48,10.0,6,1.0,1.0,a,0.0,DEF,AVL
50,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
51,Emiliano Martínez Romero,50,11.5,11,1.8,1.7,a,1.0,GKP,AVL
52,John McGinn,53,8.8,9,1.8,1.0,i,1.29,MID,AVL
53,Tyrone Mings,44,0.0,0,0.0,0.0,i,0.0,DEF,AVL
54,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL
55,Robin Olsen,45,0.0,0,0.0,0.0,a,0.0,GKP,AVL
56,Pau Torres,45,12.9,8,1.3,1.0,a,1.0,DEF,AVL
57,Jacob Ramsey,55,18.5,13,2.2,2.0,d,0.81,MID,AVL
58,Morgan Rogers,53,37.9,25,4.2,6.3,a,1.05,MID,AVL
59,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
60,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
