id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,0.1,0,0.0,0.0,d,0.0,FWD,ARS
2,Gabriel dos Santos Magalhães,60,9.7,14,4.7,4.7,a,1.0,DEF,ARS
3,Kai Havertz,81,24.7,22,7.3,7.3,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,4.5,8,2.7,2.7,a,1.01,DEF,ARS
6,Jorge Luiz Frello Filho,49,0.0,0,0.0,0.0,a,0.0,MID,ARS
7,Jakub Kiwior,49,0.0,0,0.0,0.0,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,69,11.8,7,2.3,2.3,a,1.06,MID,ARS
9,Ethan Nwaneri,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
10,Martin Ødegaard,84,17.0,7,2.3,2.3,a,1.07,MID,ARS
11,David Raya Martin,55,9.0,20,6.7,6.7,a,1.0,GKP,ARS
12,Declan Rice,64,8.1,3,1.0,1.0,s,1.22,MID,ARS
13,Bukayo Saka,101,43.0,24,8.0,8.0,a,1.05,MID,ARS
14,William Saliba,60,6.4,14,4.7,4.7,a,1.0,DEF,ARS
15,Thomas Partey,50,13.2,15,5.0,5.0,a,1.0,MID,ARS
16,Kieran Tierney,44,0.0,0,0.0,0.0,i,0.0,DEF,ARS
17,Tomiyasu Takehiro,49,0.0,0,0.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,69,11.1,9,3.0,3.0,a,0.97,MID,ARS
19,Benjamin White,65,6.3,14,4.7,4.7,a,1.0,DEF,ARS
20,Oleksandr Zinchenko,50,1.8,7,3.5,2.3,a,1.15,DEF,ARS
21,Norberto Murara Neto,45,7.8,7,3.5,2.3,a,1.0,GKP,ARS
22,Raheem Sterling,68,0.0,0,0.0,0.0,a,0.0,MID,ARS
23,Riccardo Calafiori,58,0.2,2,1.0,0.7,a,0.0,DEF,ARS
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
25,Mikel Merino,60,0.0,0,0.0,0.0,i,0.0,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Leon Bailey,64,8.8,4,1.3,1.3,d,1.52,MID,AVL
29,Ross Barkley,53,2.3,2,1.0,0.7,a,0.0,MID,AVL
30,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
31,Emiliano Buendía Stati,54,0.0,0,0.0,0.0,a,0.0,MID,AVL
32,Matty Cash,44,2.6,3,1.5,1.0,i,1.88,DEF,AVL
33,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
34,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
