id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,16.2,7,0.7,1.0,a,0.85,FWD,ARS
2,Gabriel dos Santos Magalhães,62,51.9,51,4.2,3.3,d,1.04,DEF,ARS
3,Kai Havertz,79,73.1,46,4.2,0.7,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,32.2,30,3.0,3.0,a,1.05,DEF,ARS
6,Jorge Luiz Frello Filho,47,4.0,4,1.0,0.0,a,1.36,MID,ARS
7,Jakub Kiwior,48,1.7,4,0.8,0.3,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,69,64.0,47,4.3,3.3,a,1.06,MID,ARS
9,Ethan Nwaneri,45,12.1,11,1.8,2.3,a,0.0,MID,ARS
10,Martin Ødegaard,82,38.2,20,4.0,4.3,a,1.06,MID,ARS
11,David Raya Martin,55,29.3,48,4.0,3.7,a,1.0,GKP,ARS
12,Declan Rice,62,46.9,19,1.9,1.3,a,1.08,MID,ARS
13,Bukayo Saka,102,131.1,80,7.3,5.7,a,1.1,MID,ARS
14,William Saliba,60,22.8,30,2.7,3.7,a,1.07,DEF,ARS
15,Thomas Partey,50,42.4,39,3.2,4.0,a,0.97,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,a,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,68,49.3,34,2.8,2.0,a,1.07,MID,ARS
19,Benjamin White,62,21.3,27,3.0,0.7,i,0.91,DEF,ARS
20,Oleksandr Zinchenko,48,3.5,9,2.2,0.7,a,0.69,DEF,ARS
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,9.9,8,1.6,1.3,a,1.41,MID,ARS
23,Riccardo Calafiori,58,27.5,20,2.9,2.0,a,1.0,DEF,ARS
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.0,a,0.0,MID,ARS
25,Mikel Merino,60,22.2,16,2.7,1.7,a,0.98,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,63,30.8,23,2.1,1.7,a,1.24,MID,AVL
34,Ross Barkley,52,35.4,24,2.7,3.0,a,0.5,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,52,2.6,4,0.8,0.0,a,0.0,MID,AVL
37,Matty Cash,44,11.5,14,2.0,0.7,a,1.15,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,13.6,12,1.7,0.3,a,0.81,DEF,AVL
41,Lucas Digne,47,48.3,38,3.2,1.0,a,1.15,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,59,34.0,32,2.7,1.0,a,0.0,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
45,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
47,Boubacar Kamara,50,0.9,2,0.7,0.3,a,0.0,MID,AVL
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
49,Ezri Konsa Ngoyo,44,28.2,20,2.0,0.3,a,1.1,DEF,AVL
50,Ian Maatsen,46,21.2,9,0.9,0.3,a,0.41,DEF,AVL
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
52,Emiliano Martínez Romero,50,28.2,34,2.8,1.3,a,1.0,GKP,AVL
53,John McGinn,52,25.3,20,2.0,2.7,a,1.16,MID,AVL
54,Tyrone Mings,44,0.0,0,0.0,0.0,a,0.0,DEF,AVL
55,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL
56,Robin Olsen,45,0.0,0,0.0,0.0,a,0.0,GKP,AVL
57,Pau Torres,44,24.5,20,1.7,0.7,a,1.0,DEF,AVL
58,Jacob Ramsey,54,33.7,22,2.2,1.0,d,1.0,MID,AVL
59,Morgan Rogers,54,68.0,47,3.9,4.0,a,1.1,MID,AVL
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
62,Youri Tielemans,55,79.3,37,3.1,2.0,a,1.02,MID,AVL
63,Ollie Watkins,90,77.4,62,5.2,3.7,a,1.16,FWD,AVL
64,Amadou Onana,49,41.7,31,3.1,1.3,d,1.28,MID,AVL
65,Jaden Philogene,53,3.3,6,0.8,1.0,a,0.44,MID,AVL
66,Lamare Bogarde,40,5.1,2,0.7,0.0,a,1.27,DEF,AVL
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
70,Ben Broggio,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
71,Max Aarons,43,0.3,1,1.0,0.3,a,0.0,DEF,BOU
72,Tyler Adams,49,7.8,5,1.2,1.3,a,1.1,MID,BOU
73,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
74,David Brooks,49,12.5,11,2.2,3.0,a,0.0,MID,BOU
75,Ryan Christie,49,36.6,23,2.1,1.0,a,1.16,MID,BOU
76,Lewis Cook,50,62.9,37,3.1,2.7,a,1.01,MID,BOU
77,Enes Ünal,54,12.3,12,1.3,2.0,a,0.57,FWD,BOU
78,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU
79,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
80,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU
