id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,a,0.0,MID,ARS
1,Gabriel Fernando de Jesus,69,0.1,0,0.0,0.0,d,0.0,FWD,ARS
2,Gabriel dos Santos Magalhães,60,4.6,12,6.0,6.0,a,1.0,DEF,ARS
3,Kai Havertz,81,14.5,14,7.0,7.0,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,1.8,7,3.5,3.5,a,0.91,DEF,ARS
6,Jorge Luiz Frello Filho,49,0.0,0,0.0,0.0,a,0.0,MID,ARS
7,Jakub Kiwior,49,0.0,0,0.0,0.0,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,70,11.8,6,3.0,3.0,a,1.17,MID,ARS
9,Reiss Nelson,50,0.2,1,1.0,0.5,a,0.0,MID,ARS
10,Eddie Nketiah,59,0.0,0,0.0,0.0,a,0.0,FWD,ARS
11,Ethan Nwaneri,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
12,Martin Ødegaard,85,11.8,5,2.5,2.5,a,1.0,MID,ARS
13,Aaron Ramsdale,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
14,David Raya Martin,55,5.6,18,9.0,9.0,a,1.0,GKP,ARS
15,Declan Rice,65,8.0,5,2.5,2.5,a,1.03,MID,ARS
16,Bukayo Saka,100,28.6,18,9.0,9.0,a,1.08,MID,ARS
17,William Saliba,60,4.1,12,6.0,6.0,a,1.0,DEF,ARS
18,Thomas Partey,50,11.4,14,7.0,7.0,a,1.0,MID,ARS
19,Kieran Tierney,44,0.0,0,0.0,0.0,i,0.0,DEF,ARS
20,Tomiyasu Takehiro,49,0.0,0,0.0,0.0,i,0.0,DEF,ARS
21,Leandro Trossard,69,6.5,8,4.0,4.0,a,0.0,MID,ARS
22,Benjamin White,65,3.5,12,6.0,6.0,a,1.0,DEF,ARS
23,Oleksandr Zinchenko,50,1.8,6,6.0,3.0,a,1.32,DEF,ARS
24,Riccardo Calafiori,59,0.0,1,1.0,0.5,a,0.0,DEF,ARS
25,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
26,Leon Bailey,65,8.8,3,1.5,1.5,a,1.1,MID,AVL
27,Ross Barkley,54,0.2,1,1.0,0.5,a,0.0,MID,AVL
28,Enzo Barrenechea,50,0.0,0,0.0,0.0,a,0.0,MID,AVL
29,Emiliano Buendía Stati,54,0.0,0,0.0,0.0,a,0.0,MID,AVL
30,Matty Cash,45,2.6,3,1.5,1.5,d,1.88,DEF,AVL
31,Leander Dendoncker,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
32,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
33,Diego Carlos Santos Silva,45,0.0,0,0.0,0.0,a,0.0,DEF,AVL
34,Lucas Digne,45,5.4,4,2.0,2.0,a,1.22,DEF,AVL
35,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Jhon Durán,60,7.3,7,3.5,3.5,a,0.0,FWD,AVL
37,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
38,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
39,Samuel Iling-Junior,54,0.0,0,0.0,0.0,a,0.0,MID,AVL
40,Boubacar Kamara,50,0.0,0,0.0,0.0,i,0.0,MID,AVL
41,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
42,Ezri Konsa Ngoyo,45,4.9,3,1.5,1.5,a,1.0,DEF,AVL
43,Ian Maatsen,50,3.9,2,1.0,1.0,a,0.0,DEF,AVL
44,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
45,Emiliano Martínez Romero,50,4.4,4,2.0,2.0,a,1.0,GKP,AVL
46,John McGinn,55,2.2,5,2.5,2.5,a,1.44,MID,AVL
47,Tyrone Mings,45,0.0,0,0.0,0.0,i,0.0,DEF,AVL
48,Kosta Nedeljković,40,2.6,2,1.0,1.0,a,0.0,DEF,AVL
49,Robin Olsen,45,0.0,0,0.0,0.0,d,0.0,GKP,AVL
50,Pau Torres,45,4.0,3,1.5,1.5,a,1.0,DEF,AVL
51,Jacob Ramsey,55,8.0,5,2.5,2.5,a,0.0,MID,AVL
52,Morgan Rogers,50,11.0,4,2.0,2.0,a,1.0,MID,AVL
53,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
54,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
55,Youri Tielemans,55,12.5,9,4.5,4.5,a,1.0,MID,AVL
56,Ollie Watkins,90,5.1,4,2.0,2.0,a,1.44,FWD,AVL
57,Amadou Onana,50,9.5,11,5.5,5.5,a,1.09,MID,AVL
58,Jaden Philogene,54,0.5,0,0.0,0.0,a,0.0,MID,AVL
59,Lamare Bogarde,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
60,Max Aarons,45,0.0,0,0.0,0.0,a,0.0,DEF,BOU
61,Tyler Adams,50,0.0,0,0.0,0.0,i,0.0,MID,BOU
62,Jaidon Anthony,45,0.0,0,0.0,0.0,a,0.0,MID,BOU
63,David Brooks,50,0.0,0,0.0,0.0,i,0.0,MID,BOU
64,Ryan Christie,50,5.0,3,1.5,1.5,a,1.0,MID,BOU
65,Lewis Cook,50,6.6,3,1.5,1.5,a,1.04,MID,BOU
66,Enes Ünal,54,0.0,0,0.0,0.0,i,0.0,FWD,BOU
67,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU
68,Hamed Traorè,45,0.0,0,0.0,0.0,a,0.0,MID,BOU
69,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU
70,Daniel Jebbison,45,1.6,2,1.0,1.0,a,0.0,FWD,BOU
71,Milos Kerkez,45,4.7,3,1.5,1.5,a,1.0,DEF,BOU
72,Justin Kluivert,54,5.4,3,1.5,1.5,a,0.93,MID,BOU
73,Chris Mepham,45,0.0,0,0.0,0.0,a,0.0,DEF,BOU
74,Norberto Murara Neto,45,7.8,7,3.5,3.5,a,1.0,GKP,BOU
75,Dango Ouattara,50,3.5,3,1.5,1.5,a,1.05,MID,BOU
76,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU
77,Philip Billing,50,0.4,1,1.0,0.5,a,0.0,MID,BOU
78,Alex Scott,50,4.1,3,1.5,1.5,a,1.02,MID,BOU
79,Antoine Semenyo,55,19.7,13,6.5,6.5,a,1.0,MID,BOU
80,Marcos Senesi,49,3.7,1,1.0,0.5,a,1.0,DEF,BOU
81,Luis Sinisterra,50,7.2,3,1.5,1.5,a,1.11,MID,BOU
82,Adam Smith,45,1.4,3,1.5,1.5,a,1.36,DEF,BOU
83,Marcus Tavernier,55,20.9,11,5.5,5.5,a,1.03,MID,BOU
84,Mark Travers,45,0.0,0,0.0,0.0,a,0.0,GKP,BOU
85,Illia Zabarnyi,45,3.4,4,2.0,2.0,a,1.0,DEF,BOU
86,Dean Huijsen,45,2.5,2,2.0,1.0,a,1.0,DEF,BOU
87,Julián Araujo Zúñiga,45,1.4,3,1.5,1.5,a,0.8,DEF,BOU
88,Will Dennis,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU
89,Francisco Evanilson de Lima Barbosa,60,4.9,2,2.0,2.0,a,1.27,FWD,BOU
90,Kristoffer Ajer,45,6.7,3,1.5,1.5,a,1.0,DEF,BRE
91,Ethan Brierley,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
92,Nathan Collins,45,14.0,7,3.5,3.5,a,1.0,DEF,BRE
93,Mikkel Damsgaard,50,0.6,2,1.0,1.0,a,0.0,MID,BRE
94,Josh Dasilva,49,0.0,0,0.0,0.0,i,0.0,MID,BRE
95,Mark Flekken,45,10.1,7,3.5,3.5,a,1.0,GKP,BRE
96,Rico Henry,44,0.0,0,0.0,0.0,d,0.0,DEF,BRE
97,Aaron Hickey,45,0.0,0,0.0,0.0,i,0.0,DEF,BRE
98,Vitaly Janelt,50,3.9,4,2.0,2.0,a,1.24,MID,BRE
99,Mathias Jensen,55,6.7,3,1.5,1.5,a,1.22,MID,BRE
100,Kim Ji-soo,40,0.0,0,0.0,0.0,a,0.0,DEF,BRE
101,Yunus Emre Konak,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
102,Keane Lewis-Potter,50,3.1,3,1.5,1.5,a,1.11,MID,BRE
103,Bryan Mbeumo,70,13.8,10,5.0,5.0,a,1.01,MID,BRE
104,Ben Mee,45,0.0,1,1.0,0.5,a,0.0,DEF,BRE
105,Christian Nørgaard,50,4.5,3,1.5,1.5,a,1.0,MID,BRE
106,Frank Onyeka,50,0.0,2,1.0,1.0,a,0.0,MID,BRE
107,Myles Peart-Harris,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
108,Ethan Pinnock,45,5.2,1,0.5,0.5,a,1.0,DEF,BRE
109,Mads Roerslev Rasmussen,45,1.9,3,1.5,1.5,a,1.0,DEF,BRE
110,Kevin Schade,55,1.7,3,1.5,1.5,a,1.0,MID,BRE
111,Igor Thiago Nascimento Rodrigues,60,0.0,0,0.0,0.0,i,0.0,FWD,BRE
112,Ivan Toney,74,0.0,0,0.0,0.0,a,0.0,FWD,BRE
113,Hákon Valdimarsson,40,0.0,0,0.0,0.0,a,0.0,GKP,BRE
114,Yoane Wissa,60,11.6,13,6.5,6.5,a,1.16,FWD,BRE
115,Yehor Yarmoliuk,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
116,Mathias Jorgensen,45,0.0,0,0.0,0.0,u,0.0,DEF,BRE
117,Fábio Freitas Gouveia Carvalho,50,0.7,2,1.0,1.0,a,0.0,MID,BRE
118,Sepp van den Berg,40,0.0,0,0.0,0.0,a,0.0,DEF,BRE
119,Ryan Trevitt,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
120,Simon Adingra,55,10.7,10,5.0,5.0,a,0.0,MID,BHA
121,Benicio Baker-Boaitey,45,0.0,0,0.0,0.0,u,0.0,MID,BHA
122,Carlos Baleba,50,0.5,1,1.0,0.5,a,0.0,MID,BHA
123,Valentín Barco,40,0.0,0,0.0,0.0,u,0.0,DEF,BHA
124,Amario Cozier-Duberry,45,0.0,0,0.0,0.0,a,0.0,MID,BHA
125,Mahmoud Dahoud,49,0.0,0,0.0,0.0,a,0.0,MID,BHA
126,Lewis Dunk,45,4.0,8,4.0,4.0,a,1.09,DEF,BHA
127,Julio Enciso,54,0.6,1,1.0,0.5,a,0.0,MID,BHA
128,Pervis Estupiñán,50,0.0,0,0.0,0.0,d,0.0,DEF,BHA
129,Evan Ferguson,55,0.0,0,0.0,0.0,d,0.0,FWD,BHA
130,Billy Gilmour,50,2.5,3,1.5,1.5,a,0.93,MID,BHA
131,Pascal Groß,65,0.0,0,0.0,0.0,u,0.0,MID,BHA
132,Jack Hinshelwood,50,4.2,5,2.5,2.5,a,1.0,MID,BHA
133,Ibrahim Osman,50,0.0,0,0.0,0.0,u,0.0,MID,BHA
134,Igor Julio dos Santos de Paulo,45,0.0,0,0.0,0.0,a,0.0,DEF,BHA
135,João Pedro Junqueira de Jesus,55,13.8,10,5.0,5.0,a,1.05,FWD,BHA
136,Kacper Kozłowski,45,0.0,0,0.0,0.0,u,0.0,MID,BHA
137,Tariq Lamptey,45,0.0,0,0.0,0.0,a,0.0,DEF,BHA
138,Solly March,65,0.0,0,0.0,0.0,i,0.0,MID,BHA
139,Adrian Mazilu,45,0.0,0,0.0,0.0,a,0.0,MID,BHA
140,James Milner,50,10.7,4,2.0,2.0,a,1.18,MID,BHA
