id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,0.1,1,0.5,0.3,a,0.0,FWD,ARS
2,Gabriel dos Santos Magalhães,60,19.1,29,7.2,7.7,a,1.0,DEF,ARS
3,Kai Havertz,81,30.8,24,6.0,4.0,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,6.7,13,3.2,4.0,a,1.01,DEF,ARS
6,Jorge Luiz Frello Filho,49,0.2,2,2.0,0.7,a,1.0,MID,ARS
7,Jakub Kiwior,49,0.0,0,0.0,0.0,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,69,19.7,10,2.5,2.3,a,1.08,MID,ARS
9,Ethan Nwaneri,45,0.9,1,1.0,0.3,a,0.0,MID,ARS
10,Martin Ødegaard,83,17.0,7,2.3,1.3,i,1.07,MID,ARS
11,David Raya Martin,55,13.1,29,7.2,7.0,a,1.0,GKP,ARS
12,Declan Rice,63,8.1,3,1.0,0.0,a,1.22,MID,ARS
13,Bukayo Saka,100,50.5,31,7.8,6.3,a,1.06,MID,ARS
14,William Saliba,60,7.5,19,4.8,4.3,a,1.0,DEF,ARS
15,Thomas Partey,50,15.5,18,4.5,5.0,a,1.0,MID,ARS
16,Kieran Tierney,44,0.0,0,0.0,0.0,i,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,0.0,0,0.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,69,14.7,12,3.0,3.7,a,1.05,MID,ARS
19,Benjamin White,65,7.5,20,5.0,4.7,a,1.0,DEF,ARS
20,Oleksandr Zinchenko,49,1.8,7,3.5,0.3,d,1.15,DEF,ARS
21,Norberto Murara Neto,44,7.8,7,3.5,1.0,a,1.0,GKP,ARS
22,Raheem Sterling,68,0.2,1,1.0,0.3,a,0.0,MID,ARS
23,Riccardo Calafiori,58,0.2,2,1.0,0.7,a,0.0,DEF,ARS
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
25,Mikel Merino,60,0.0,0,0.0,0.0,i,0.0,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Leon Bailey,64,8.8,4,1.3,1.0,a,1.52,MID,AVL
32,Ross Barkley,53,6.2,6,2.0,2.0,a,0.0,MID,AVL
33,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
34,Emiliano Buendía Stati,54,0.1,1,1.0,0.3,a,0.0,MID,AVL
35,Matty Cash,44,2.6,3,1.5,0.3,d,1.88,DEF,AVL
36,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
37,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
38,Diego Carlos Santos Silva,45,0.0,0,0.0,0.0,a,0.0,DEF,AVL
39,Lucas Digne,46,19.7,15,3.8,4.3,a,1.18,DEF,AVL
40,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
41,Jhon Durán,61,19.4,20,5.0,4.7,a,0.0,FWD,AVL
42,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
43,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
44,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
45,Boubacar Kamara,50,0.0,0,0.0,0.0,d,0.0,MID,AVL
46,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
