id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,11.7,6,0.7,0.7,a,0.74,FWD,ARS
2,Gabriel dos Santos Magalhães,61,50.1,45,4.1,1.7,a,1.04,DEF,ARS
3,Kai Havertz,80,73.1,46,4.2,1.3,a,1.0,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,55,28.5,24,2.7,1.7,a,1.05,DEF,ARS
6,Jorge Luiz Frello Filho,48,2.7,4,1.3,0.0,a,1.17,MID,ARS
7,Jakub Kiwior,48,1.7,3,0.8,0.3,a,0.0,DEF,ARS
8,Gabriel Martinelli Silva,69,64.0,47,4.3,4.0,a,1.06,MID,ARS
9,Ethan Nwaneri,45,5.0,5,1.0,0.7,a,0.0,MID,ARS
10,Martin Ødegaard,82,25.5,14,3.5,2.3,a,1.05,MID,ARS
11,David Raya Martin,55,28.8,42,3.8,1.7,a,1.0,GKP,ARS
12,Declan Rice,63,46.9,19,1.9,3.0,d,1.08,MID,ARS
13,Bukayo Saka,101,113.4,67,6.7,4.3,d,1.1,MID,ARS
14,William Saliba,60,20.1,23,2.3,1.3,a,1.07,DEF,ARS
15,Thomas Partey,50,37.2,31,2.8,2.0,a,1.02,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,i,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,69,41.4,31,2.8,1.7,d,1.08,MID,ARS
19,Benjamin White,62,21.3,27,3.0,2.0,d,0.91,DEF,ARS
20,Oleksandr Zinchenko,48,2.7,8,2.7,0.3,a,0.84,DEF,ARS
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,6.7,4,1.0,0.0,a,1.49,MID,ARS
23,Riccardo Calafiori,58,26.2,14,2.3,0.0,d,0.94,DEF,ARS
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.3,a,0.0,MID,ARS
25,Mikel Merino,60,20.7,13,2.6,3.3,a,0.97,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,63,26.5,21,2.1,2.3,a,1.26,MID,AVL
34,Ross Barkley,52,24.8,15,1.9,1.7,d,0.33,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,52,1.3,4,1.0,0.0,a,0.0,MID,AVL
37,Matty Cash,44,9.9,13,2.2,0.7,d,1.27,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,10.8,12,2.0,0.3,a,0.77,DEF,AVL
41,Lucas Digne,47,47.8,37,3.4,3.0,a,1.18,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,60,31.8,31,2.8,1.0,a,0.0,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
45,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
47,Boubacar Kamara,50,0.9,2,0.7,0.7,d,0.0,MID,AVL
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
49,Ezri Konsa Ngoyo,44,28.2,20,2.0,1.0,d,1.1,DEF,AVL
50,Ian Maatsen,47,15.1,9,1.0,0.7,d,0.0,DEF,AVL
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
52,Emiliano Martínez Romero,50,24.5,32,2.9,1.3,a,1.0,GKP,AVL
53,John McGinn,52,17.7,15,1.7,1.7,a,1.14,MID,AVL
54,Tyrone Mings,44,0.0,0,0.0,0.0,a,0.0,DEF,AVL
55,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL
56,Robin Olsen,45,0.0,0,0.0,0.0,a,0.0,GKP,AVL
57,Pau Torres,45,22.4,19,1.7,1.0,d,1.0,DEF,AVL
58,Jacob Ramsey,54,33.7,22,2.2,1.3,d,1.0,MID,AVL
59,Morgan Rogers,54,63.3,45,4.1,3.7,a,1.1,MID,AVL
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
62,Youri Tielemans,55,69.0,34,3.1,1.3,a,1.02,MID,AVL
63,Ollie Watkins,90,66.8,55,5.0,2.0,a,1.18,FWD,AVL
64,Amadou Onana,49,41.7,31,3.1,1.3,d,1.28,MID,AVL
65,Jaden Philogene,53,3.1,5,0.7,0.7,a,0.46,MID,AVL
66,Lamare Bogarde,40,4.4,2,1.0,0.0,a,1.07,DEF,AVL
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
70,Max Aarons,43,0.0,0,0.0,0.0,a,0.0,DEF,BOU
71,Tyler Adams,49,5.8,3,1.0,1.0,a,0.91,MID,BOU
72,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
73,David Brooks,49,3.2,4,1.0,1.0,a,0.0,MID,BOU
74,Ryan Christie,49,36.6,23,2.1,1.7,s,1.16,MID,BOU
75,Lewis Cook,50,56.8,36,3.3,3.0,a,1.01,MID,BOU
76,Enes Ünal,54,9.1,8,1.0,1.0,a,0.61,FWD,BOU
77,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU
78,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
79,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU
80,Daniel Jebbison,45,1.6,2,1.0,0.0,u,0.0,FWD,BOU
81,Milos Kerkez,44,38.5,30,2.7,4.3,d,1.07,DEF,BOU
82,Justin Kluivert,53,52.7,35,3.2,4.0,a,1.16,MID,BOU
83,Chris Mepham,44,0.0,0,0.0,0.0,u,0.0,DEF,BOU
84,Dango Ouattara,50,30.2,22,2.8,0.7,d,0.87,MID,BOU
85,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU
86,Philip Billing,48,1.4,2,1.0,0.0,a,0.0,MID,BOU
87,Alex Scott,48,15.8,11,1.4,0.0,i,0.7,MID,BOU
88,Antoine Semenyo,57,82.9,46,4.2,4.3,d,1.02,MID,BOU
89,Marcos Senesi,48,29.3,19,2.1,1.3,a,1.05,DEF,BOU
90,Luis Sinisterra,50,37.2,19,2.4,0.0,i,0.44,MID,BOU
91,Adam Smith,45,12.9,18,1.6,1.0,a,0.89,DEF,BOU
92,Marcus Tavernier,55,73.5,33,3.0,2.0,a,1.01,MID,BOU
93,Mark Travers,44,9.4,10,3.3,2.7,a,1.0,GKP,BOU
94,Illia Zabarnyi,44,21.5,22,2.0,1.3,a,1.0,DEF,BOU
95,Kepa Arrizabalaga,45,16.9,19,3.2,0.7,a,1.0,GKP,BOU
96,Dean Huijsen,43,11.2,5,1.0,0.7,a,0.83,DEF,BOU
97,Julián Araujo Zúñiga,44,5.1,8,1.0,0.3,i,1.28,DEF,BOU
98,Will Dennis,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU
99,Francisco Evanilson de Lima Barbosa,59,48.7,45,4.5,7.7,a,1.15,FWD,BOU
100,Kristoffer Ajer,44,15.9,7,0.9,0.0,d,1.13,DEF,BRE
101,Ethan Brierley,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
102,Nathan Collins,45,56.6,29,2.6,1.0,a,1.0,DEF,BRE
103,Mikkel Damsgaard,50,64.2,40,3.6,4.3,a,1.03,MID,BRE
104,Josh Dasilva,48,0.0,0,0.0,0.0,i,0.0,MID,BRE
105,Mark Flekken,45,44.3,29,2.6,2.0,a,1.0,GKP,BRE
106,Rico Henry,43,0.0,0,0.0,0.0,d,0.0,DEF,BRE
107,Aaron Hickey,43,0.0,0,0.0,0.0,i,0.0,DEF,BRE
108,Vitaly Janelt,49,41.8,38,3.5,6.3,a,1.1,MID,BRE
109,Mathias Jensen,53,16.8,13,2.2,1.3,a,1.04,MID,BRE
