id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Karl Hein,40,0.0,0,0.0,0.0,a,0.0,GKP,ARS,26
1,Tommy Setford,40,0.0,0,0.0,0.0,a,0.0,GKP,ARS,26
2,Gabriel dos Santos Magalhães,60,108.2,117,4.2,0.0,a,1.07,DEF,ARS,26
3,William Saliba,60,94.2,130,3.7,2.8,a,1.04,DEF,ARS,26
4,Riccardo Calafiori,55,54.6,39,2.1,0.0,a,1.01,DEF,ARS,26
5,Jurriën Timber,55,94.2,114,3.8,1.5,a,1.01,DEF,ARS,26
6,Jakub Kiwior,55,39.2,43,2.5,4.2,a,0.81,DEF,ARS,26
7,Myles Lewis-Skelly,55,40.0,37,1.6,1.5,a,0.99,DEF,ARS,26
8,Benjamin White,55,51.0,50,2.9,2.0,a,0.98,DEF,ARS,26
9,Oleksandr Zinchenko,50,24.1,40,2.7,4.2,a,0.87,DEF,ARS,26
10,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,26
11,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,26
12,Bukayo Saka,100,227.9,127,5.1,1.0,a,1.04,MID,ARS,26
13,Martin Ødegaard,80,198.8,116,3.9,3.0,a,1.01,MID,ARS,26
14,Noni Madueke,70,195.3,120,3.8,2.2,a,1.2,MID,ARS,26
15,Gabriel Martinelli Silva,70,206.1,125,3.8,3.2,a,0.99,MID,ARS,26
16,Leandro Trossard,70,202.1,152,4.0,8.8,a,0.99,MID,ARS,26
17,Declan Rice,65,208.8,127,3.6,3.8,a,1.05,MID,ARS,26
18,Fábio Ferreira Vieira,55,0.0,0,0.0,0.0,a,0.0,MID,ARS,26
19,Christian Nørgaard,55,147.9,107,3.1,3.0,a,1.09,MID,ARS,26
20,Ethan Nwaneri,55,83.0,66,2.5,2.8,a,1.12,MID,ARS,26
21,Reiss Nelson,50,55.1,27,2.2,0.0,a,0.93,MID,ARS,26
22,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,26
23,Kai Havertz,75,144.8,97,4.2,0.0,a,1.01,FWD,ARS,26
24,Gabriel Fernando de Jesus,65,52.6,42,2.5,0.0,i,0.9,FWD,ARS,26
25,Emiliano Martínez Romero,50,86.0,111,3.0,3.4,s,1.04,GKP,AVL,26
26,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,26
