id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,David Raya Martín,55,4.9,10,10.0,10.0,a,1.0,GKP,ARS,26
1,Kepa Arrizabalaga Revuelta,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,26
2,Karl Hein,40,0.0,0,0.0,0.0,a,0.0,GKP,ARS,26
3,Tommy Setford,40,0.0,0,0.0,0.0,a,0.0,GKP,ARS,26
4,Gabriel dos Santos Magalhães,60,2.7,6,6.0,6.0,a,1.0,DEF,ARS,26
5,William Saliba,60,3.2,9,9.0,9.0,a,1.0,DEF,ARS,26
6,Riccardo Calafiori,55,7.3,13,13.0,13.0,a,1.27,DEF,ARS,26
7,Jurriën Timber,55,0.3,0,0.0,0.0,a,0.0,DEF,ARS,26
8,Jakub Kiwior,55,0.0,0,0.0,0.0,a,0.0,DEF,ARS,26
9,Myles Lewis-Skelly,55,0.0,0,0.0,0.0,a,0.0,DEF,ARS,26
10,Benjamin White,55,2.8,6,6.0,6.0,d,1.29,DEF,ARS,26
11,Oleksandr Zinchenko,50,0.0,0,0.0,0.0,a,0.0,DEF,ARS,26
12,Brayden Clarke,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,26
13,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,26
14,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,26
15,Bukayo Saka,100,3.5,3,3.0,3.0,a,1.0,MID,ARS,26
16,Martin Ødegaard,80,5.5,5,5.0,5.0,a,1.0,MID,ARS,26
17,Noni Madueke,70,1.4,1,1.0,1.0,a,0.0,MID,ARS,26
18,Gabriel Martinelli Silva,70,3.8,1,1.0,1.0,a,1.53,MID,ARS,26
19,Leandro Trossard,70,0.0,0,0.0,0.0,a,0.0,MID,ARS,26
20,Declan Rice,65,1.2,6,6.0,6.0,a,1.1,MID,ARS,26
21,Mikel Merino Zazón,60,0.1,1,1.0,1.0,a,0.0,MID,ARS,26
22,Fábio Ferreira Vieira,55,0.0,0,0.0,0.0,a,0.0,MID,ARS,26
23,Christian Nørgaard,55,0.0,0,0.0,0.0,i,0.0,MID,ARS,26
24,Ethan Nwaneri,55,0.0,0,0.0,0.0,a,0.0,MID,ARS,26
25,Martín Zubimendi Ibáñez,55,2.0,5,5.0,5.0,a,1.0,MID,ARS,26
26,Reiss Nelson,50,0.0,0,0.0,0.0,a,0.0,MID,ARS,26
27,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,26
28,Albert Sambi Lokonga,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,26
29,Kai Havertz,75,0.6,1,1.0,1.0,i,0.0,FWD,ARS,26
30,Gabriel Fernando de Jesus,65,0.0,0,0.0,0.0,i,0.0,FWD,ARS,26
31,Cristhian Mosquera,55,0.0,0,0.0,0.0,a,0.0,DEF,ARS,26
32,Viktor Gyökeres,90,1.2,1,1.0,1.0,a,1.53,FWD,ARS,26
33,Emiliano Martínez Romero,50,0.0,0,0.0,0.0,a,0.0,GKP,AVL,26
34,Marco Bizot,45,2.0,7,7.0,7.0,a,1.0,GKP,AVL,26
35,Joe Gauci,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,26
36,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,26
37,Matty Cash,45,4.1,8,8.0,8.0,a,1.0,DEF,AVL,26
38,Lucas Digne,45,1.7,6,6.0,6.0,a,1.0,DEF,AVL,26
39,Ezri Konsa Ngoyo,45,0.3,3,3.0,3.0,s,1.38,DEF,AVL,26
40,Ian Maatsen,45,0.0,0,0.0,0.0,a,0.0,DEF,AVL,26
41,Tyrone Mings,45,1.7,6,6.0,6.0,a,1.0,DEF,AVL,26
42,Pau Torres,45,0.0,0,0.0,0.0,a,0.0,DEF,AVL,26
43,Andrés García,40,0.0,0,0.0,0.0,d,0.0,DEF,AVL,26
44,Álex Moreno Lopera,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,26
45,Lamare Bogarde,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,26
46,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,26
47,Yasin Özcan,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,26
48,Morgan Rogers,70,3.1,3,3.0,3.0,a,1.0,MID,AVL,26
49,Youri Tielemans,60,0.5,3,3.0,3.0,a,1.0,MID,AVL,26
50,Leon Bailey,55,0.0,0,0.0,0.0,u,0.0,MID,AVL,26
51,Emiliano Buendía Stati,54,0.0,0,0.0,0.0,a,0.0,MID,AVL,26
52,Samuel Iling-Junior,55,0.0,0,0.0,0.0,a,0.0,MID,AVL,26
53,Donyell Malen,54,2.0,1,1.0,1.0,a,0.0,MID,AVL,26
54,John McGinn,55,3.0,3,3.0,3.0,a,1.08,MID,AVL,26
55,Ross Barkley,50,0.0,0,0.0,0.0,d,0.0,MID,AVL,26
56,Enzo Barrenechea,50,0.0,0,0.0,0.0,u,0.0,MID,AVL,26
57,Lewis Dobbin,50,0.0,0,0.0,0.0,a,0.0,MID,AVL,26
58,Boubacar Kamara,50,3.3,2,2.0,2.0,a,1.0,MID,AVL,26
59,Amadou Onana,50,2.2,5,5.0,5.0,a,1.0,MID,AVL,26
60,Ben Broggio,45,0.0,0,0.0,0.0,a,0.0,MID,AVL,26
61,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL,26
62,Jamaldeen Jimoh-Aloba,45,0.0,0,0.0,0.0,a,0.0,MID,AVL,26
63,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL,26
64,Ollie Watkins,90,5.0,2,2.0,2.0,a,1.0,FWD,AVL,26
65,Zépiqueno Redmond,45,0.0,0,0.0,0.0,a,0.0,FWD,AVL,26
66,Evann Guessand,65,0.0,0,0.0,0.0,a,0.0,MID,AVL,26
67,James Wright,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,26
68,Max Weiß,45,0.0,0,0.0,0.0,a,0.0,GKP,BUR,26
69,Etienne Green,40,0.0,0,0.0,0.0,a,0.0,GKP,BUR,26
70,Václav Hladký,40,0.0,0,0.0,0.0,a,0.0,GKP,BUR,26
71,Connor Roberts,45,0.0,0,0.0,0.0,i,0.0,DEF,BUR,26
72,Kyle Walker,45,1.0,1,1.0,1.0,a,1.0,DEF,BUR,26
73,Hannes Delcroix,40,0.0,0,0.0,0.0,a,0.0,DEF,BUR,26
74,Owen Dodgson,40,0.0,0,0.0,0.0,u,0.0,DEF,BUR,26
75,Hjalmar Ekdal,40,1.8,1,1.0,1.0,a,1.0,DEF,BUR,26
76,Maxime Estève,40,3.7,1,1.0,1.0,a,1.0,DEF,BUR,26
77,Quilindschy Hartman,40,2.7,1,1.0,1.0,a,1.0,DEF,BUR,26
78,Bashir Humphreys,40,0.0,0,0.0,0.0,d,0.0,DEF,BUR,26
79,Jordan Beyer,40,0.0,0,0.0,0.0,i,0.0,DEF,BUR,26
80,Lucas Pires Silva,40,0.0,0,0.0,0.0,a,0.0,DEF,BUR,26
81,Shurandy Sambo,40,0.0,0,0.0,0.0,u,0.0,DEF,BUR,26
82,Oliver Sonne,40,2.7,1,1.0,1.0,a,1.23,DEF,BUR,26
83,Axel Tuanzebe,40,0.0,0,0.0,0.0,d,0.0,DEF,BUR,26
84,Joe Worrall,40,0.0,0,0.0,0.0,a,0.0,DEF,BUR,26
85,Jaidon Anthony,55,6.5,2,2.0,2.0,a,1.07,MID,BUR,26
86,Manuel Benson Hedilazio,55,0.0,0,0.0,0.0,a,0.0,MID,BUR,26
87,Jacob Bruun Larsen,55,1.2,1,1.0,1.0,a,0.0,MID,BUR,26
88,Enock Agyei,50,0.0,0,0.0,0.0,a,0.0,MID,BUR,26
89,Darko Churlinov,50,0.0,0,0.0,0.0,a,0.0,MID,BUR,26
90,Josh Cullen,50,8.3,4,4.0,4.0,a,1.0,MID,BUR,26
91,Marcus Edwards,50,0.0,1,1.0,1.0,a,0.0,MID,BUR,26
92,Hannibal Mejbri,50,0.6,2,2.0,2.0,a,1.45,MID,BUR,26
93,Luca Koleosho,50,0.0,0,0.0,0.0,a,0.0,MID,BUR,26
94,Josh Laurent,50,4.2,2,2.0,2.0,a,1.45,MID,BUR,26
95,Loum Tchaouna,50,0.4,1,1.0,1.0,a,0.0,MID,BUR,26
96,Aaron Ramsey,45,0.0,0,0.0,0.0,a,0.0,MID,BUR,26
97,Oluwaseun Adewumi,45,0.0,0,0.0,0.0,u,0.0,MID,BUR,26
98,Jaydon Banel,45,0.0,0,0.0,0.0,a,0.0,MID,BUR,26
99,Mike Trésor Ndayishimiye,45,0.0,0,0.0,0.0,a,0.0,MID,BUR,26
100,Zian Flemming,55,0.0,1,1.0,1.0,a,0.0,FWD,BUR,26
101,Zeki Amdouni,50,0.0,0,0.0,0.0,i,0.0,FWD,BUR,26
102,Lyle Foster,50,3.8,2,2.0,2.0,a,1.23,FWD,BUR,26
103,Ashley Barnes,45,0.0,0,0.0,0.0,a,0.0,FWD,BUR,26
104,Michael Obafemi,45,0.0,0,0.0,0.0,a,0.0,FWD,BUR,26
105,Martin Dúbravka,40,2.6,2,2.0,2.0,a,1.0,GKP,BUR,26
106,Lesley Ugochukwu,50,0.1,1,1.0,1.0,a,0.0,MID,BUR,26
107,Armando Broja,55,0.0,0,0.0,0.0,d,0.0,FWD,BUR,26
108,Norberto Murara Neto,45,0.0,0,0.0,0.0,u,0.0,GKP,BOU,26
109,Đorđe Petrović,45,4.8,2,2.0,2.0,a,1.0,GKP,BOU,26
110,Will Dennis,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU,26
111,Callan McKenna,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU,26
112,Alex Paulsen,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU,26
113,Illia Zabarnyi,50,0.0,0,0.0,0.0,u,0.0,DEF,BOU,26
114,Marcos Senesi Barón,45,4.3,2,2.0,2.0,a,1.0,DEF,BOU,26
115,Adam Smith,45,2.7,1,1.0,1.0,a,1.01,DEF,BOU,26
116,Adrien Truffert,45,3.7,0,0.0,0.0,a,1.0,DEF,BOU,26
117,Matai Akinmboni,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU,26
118,Owen Bevan,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU,26
