id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,10.9,4,0.6,0.7,a,0.97,FWD,ARS,25
2,Gabriel dos Santos Magalhães,62,42.9,41,4.6,1.3,d,1.05,DEF,ARS,25
3,Kai Havertz,82,68.3,44,4.9,4.0,a,1.0,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,55,24.6,21,3.0,0.7,a,1.03,DEF,ARS,25
6,Jorge Luiz Frello Filho,48,2.7,4,2.0,0.7,a,1.2,MID,ARS,25
7,Jakub Kiwior,48,1.7,3,0.8,0.7,a,0.0,DEF,ARS,25
8,Gabriel Martinelli Silva,70,53.3,37,4.1,3.0,a,0.99,MID,ARS,25
9,Ethan Nwaneri,45,4.6,4,1.0,0.7,a,0.0,MID,ARS,25
10,Martin Ødegaard,82,17.0,7,2.3,0.0,i,1.07,MID,ARS,25
11,David Raya Martin,56,24.5,37,4.1,1.0,a,1.0,GKP,ARS,25
12,Declan Rice,63,37.9,15,1.9,3.0,a,1.07,MID,ARS,25
13,Bukayo Saka,100,107.3,63,7.9,8.3,a,1.11,MID,ARS,25
14,William Saliba,60,13.4,19,2.4,-0.3,a,1.09,DEF,ARS,25
15,Thomas Partey,50,30.3,27,3.0,2.0,a,1.02,MID,ARS,25
16,Kieran Tierney,43,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.3,i,0.0,DEF,ARS,25
18,Leandro Trossard,69,37.0,28,3.1,2.0,a,1.09,MID,ARS,25
19,Benjamin White,63,14.7,25,3.6,1.3,d,0.92,DEF,ARS,25
20,Oleksandr Zinchenko,48,1.8,7,3.5,0.0,a,1.15,DEF,ARS,25
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,6.7,4,1.0,0.7,a,1.49,MID,ARS,25
23,Riccardo Calafiori,58,26.2,14,2.3,1.0,i,0.94,DEF,ARS,25
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.3,a,0.0,MID,ARS,25
25,Mikel Merino,60,15.8,11,3.7,3.7,a,0.9,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
33,Leon Bailey,63,24.8,18,2.2,2.7,a,1.26,MID,AVL,25
34,Ross Barkley,52,24.8,15,1.9,2.7,a,0.33,MID,AVL,25
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
36,Emiliano Buendía Stati,53,1.3,4,1.0,0.3,a,0.0,MID,AVL,25
37,Matty Cash,44,8.4,12,2.4,3.0,a,1.23,DEF,AVL,25
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
40,Diego Carlos Santos Silva,45,6.4,11,2.8,2.7,a,0.78,DEF,AVL,25
41,Lucas Digne,47,33.8,35,3.9,6.3,a,1.19,DEF,AVL,25
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
