id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,11.7,6,0.7,0.7,a,0.74,FWD,ARS,25
2,Gabriel dos Santos Magalhães,61,50.1,45,4.1,1.7,a,1.04,DEF,ARS,25
3,Kai Havertz,80,73.1,46,4.2,1.3,a,1.0,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,55,28.5,24,2.7,1.7,a,1.05,DEF,ARS,25
6,Jorge Luiz Frello Filho,48,2.7,4,1.3,0.0,a,1.17,MID,ARS,25
7,Jakub Kiwior,48,1.7,3,0.8,0.3,a,0.0,DEF,ARS,25
8,Gabriel Martinelli Silva,69,64.0,47,4.3,4.0,a,1.06,MID,ARS,25
9,Ethan Nwaneri,45,5.0,5,1.0,0.7,a,0.0,MID,ARS,25
10,Martin Ødegaard,82,25.5,14,3.5,2.3,a,1.05,MID,ARS,25
11,David Raya Martin,55,28.8,42,3.8,1.7,a,1.0,GKP,ARS,25
12,Declan Rice,63,46.9,19,1.9,3.0,d,1.08,MID,ARS,25
13,Bukayo Saka,101,113.4,67,6.7,4.3,d,1.1,MID,ARS,25
14,William Saliba,60,20.1,23,2.3,1.3,a,1.07,DEF,ARS,25
15,Thomas Partey,50,37.2,31,2.8,2.0,a,1.02,MID,ARS,25
16,Kieran Tierney,43,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,69,41.4,31,2.8,1.7,d,1.08,MID,ARS,25
19,Benjamin White,62,21.3,27,3.0,2.0,d,0.91,DEF,ARS,25
20,Oleksandr Zinchenko,48,2.7,8,2.7,0.3,a,0.84,DEF,ARS,25
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,6.7,4,1.0,0.0,a,1.49,MID,ARS,25
23,Riccardo Calafiori,58,26.2,14,2.3,0.0,d,0.94,DEF,ARS,25
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.3,a,0.0,MID,ARS,25
25,Mikel Merino,60,20.7,13,2.6,3.3,a,0.97,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
