id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,65,52.6,42,2.5,0.0,i,0.9,FWD,ARS,25
2,Gabriel dos Santos Magalhães,62,108.2,117,4.2,0.2,i,1.07,DEF,ARS,25
3,Kai Havertz,77,142.6,96,4.6,0.0,i,1.03,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,57,94.2,114,3.8,2.6,a,1.01,DEF,ARS,25
6,Jorge Luiz Frello Filho,46,14.2,19,1.4,0.6,d,1.16,MID,ARS,25
7,Jakub Kiwior,48,26.2,32,2.5,3.8,a,0.71,DEF,ARS,25
8,Gabriel Martinelli Silva,65,176.2,111,3.8,3.6,a,0.97,MID,ARS,25
9,Ethan Nwaneri,45,73.8,63,2.6,3.4,a,1.12,MID,ARS,25
10,Martin Ødegaard,82,173.8,90,3.5,2.8,a,1.02,MID,ARS,25
11,David Raya Martin,56,68.7,130,3.8,2.6,a,1.0,GKP,ARS,25
12,Declan Rice,62,184.6,105,3.3,3.2,a,1.05,MID,ARS,25
13,Bukayo Saka,105,200.6,119,5.7,2.4,a,1.06,MID,ARS,25
14,William Saliba,66,90.2,127,4.0,2.6,a,1.02,DEF,ARS,25
15,Thomas Partey,49,105.9,99,3.2,2.8,a,1.0,MID,ARS,25
16,Kieran Tierney,43,14.5,15,1.5,1.8,a,0.52,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,67,180.6,136,4.0,7.2,a,0.99,MID,ARS,25
19,Benjamin White,61,33.8,37,2.8,1.6,a,0.95,DEF,ARS,25
20,Oleksandr Zinchenko,48,17.0,36,3.0,3.4,a,0.81,DEF,ARS,25
21,Norberto Murara Neto,41,7.8,7,3.5,0.0,n,1.0,GKP,ARS,25
22,Raheem Sterling,67,29.1,23,1.5,1.2,a,1.27,MID,ARS,25
23,Riccardo Calafiori,58,53.9,37,2.2,0.0,d,1.07,DEF,ARS,25
24,Myles Lewis-Skelly,45,31.5,30,1.6,1.6,a,1.01,MID,ARS,25
25,Mikel Merino,61,110.1,85,3.4,3.4,a,0.97,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,u,0.0,DEF,ARS,25
29,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
30,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
31,Nathan Butler-Oyedeji,45,2.0,1,1.0,0.2,a,0.0,FWD,ARS,25
32,Mikel Arteta,15,0.0,81,0.0,6.6,a,0.0,,ARS,25
