id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,55,0.0,0,0.0,0.0,d,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,70,0.1,0,0.0,0.0,a,0.0,FWD,ARS,25
2,Gabriel dos Santos Magalhães,60,2.3,6,6.0,6.0,a,1.0,DEF,ARS,25
3,Kai Havertz,80,12.5,12,12.0,12.0,a,1.0,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,55,0.8,1,1.0,1.0,a,0.0,DEF,ARS,25
6,Jorge Luiz Frello Filho,50,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
7,Jakub Kiwior,50,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
8,Gabriel Martinelli Silva,70,7.5,3,3.0,3.0,a,1.0,MID,ARS,25
9,Reiss Nelson,50,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
10,Eddie Nketiah,60,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
11,Ethan Nwaneri,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
12,Martin Ødegaard,85,5.4,3,3.0,3.0,a,1.0,MID,ARS,25
13,Aaron Ramsdale,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
14,David Raya Martin,55,2.8,8,8.0,8.0,a,1.0,GKP,ARS,25
15,Declan Rice,65,2.8,3,3.0,3.0,a,1.07,MID,ARS,25
16,Bukayo Saka,100,20.4,12,12.0,12.0,a,1.14,MID,ARS,25
17,William Saliba,60,1.6,6,6.0,6.0,a,1.0,DEF,ARS,25
18,Thomas Partey,50,5.9,3,3.0,3.0,a,1.0,MID,ARS,25
19,Kieran Tierney,45,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
20,Tomiyasu Takehiro,50,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
21,Leandro Trossard,70,0.5,1,1.0,1.0,a,0.0,MID,ARS,25
22,Benjamin White,65,1.5,6,6.0,6.0,a,1.0,DEF,ARS,25
23,Oleksandr Zinchenko,50,1.8,6,6.0,6.0,a,1.32,DEF,ARS,25
24,Riccardo Calafiori,60,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
25,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
26,Álex Moreno Lopera,45,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
27,Leon Bailey,65,4.2,1,1.0,1.0,a,1.23,MID,AVL,25
28,Ross Barkley,55,0.0,0,0.0,0.0,a,0.0,MID,AVL,25
29,Enzo Barrenechea,50,0.0,0,0.0,0.0,a,0.0,MID,AVL,25
