id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,16.9,8,0.7,0.8,a,0.79,FWD,ARS,25
2,Gabriel dos Santos Magalhães,62,59.7,60,4.6,4.2,d,1.08,DEF,ARS,25
3,Kai Havertz,79,83.4,54,4.2,2.2,a,1.0,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,56,45.6,45,3.8,5.8,a,1.04,DEF,ARS,25
6,Jorge Luiz Frello Filho,47,5.9,7,1.2,0.8,a,1.24,MID,ARS,25
7,Jakub Kiwior,48,4.9,11,1.6,2.0,a,0.39,DEF,ARS,25
8,Gabriel Martinelli Silva,68,67.0,50,4.2,2.8,a,1.08,MID,ARS,25
9,Ethan Nwaneri,45,12.1,12,1.7,1.8,a,0.0,MID,ARS,25
10,Martin Ødegaard,83,54.0,31,4.4,6.0,a,1.08,MID,ARS,25
11,David Raya Martin,55,33.7,56,4.0,4.0,a,1.0,GKP,ARS,25
12,Declan Rice,62,61.4,28,2.3,2.8,a,1.07,MID,ARS,25
13,Bukayo Saka,105,156.9,101,7.8,9.0,a,1.1,MID,ARS,25
14,William Saliba,60,33.0,46,3.5,6.2,a,1.06,DEF,ARS,25
15,Thomas Partey,50,50.8,45,3.5,4.0,a,0.98,MID,ARS,25
16,Kieran Tierney,43,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,68,63.7,47,3.4,4.2,a,1.04,MID,ARS,25
19,Benjamin White,61,21.3,27,3.0,0.2,i,0.91,DEF,ARS,25
20,Oleksandr Zinchenko,48,6.7,15,2.5,1.8,a,0.77,DEF,ARS,25
21,Norberto Murara Neto,42,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,11.3,9,1.5,1.2,a,1.25,MID,ARS,25
23,Riccardo Calafiori,58,29.4,20,2.5,1.5,d,1.07,DEF,ARS,25
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.0,d,0.0,MID,ARS,25
25,Mikel Merino,60,22.4,17,2.4,1.2,a,0.93,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
33,Leon Bailey,62,34.8,26,2.0,1.8,a,1.21,MID,AVL,25
34,Ross Barkley,52,36.8,26,2.4,2.8,a,0.44,MID,AVL,25
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
36,Emiliano Buendía Stati,52,2.9,6,0.9,0.5,a,0.0,MID,AVL,25
37,Matty Cash,44,20.6,21,2.3,2.0,a,1.11,DEF,AVL,25
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
40,Diego Carlos Santos Silva,45,13.6,12,1.7,0.2,a,0.81,DEF,AVL,25
41,Lucas Digne,47,63.0,41,2.9,1.5,a,1.12,DEF,AVL,25
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
43,Jhon Durán,58,43.8,33,2.4,0.8,a,0.0,FWD,AVL,25
