id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,65,52.6,42,2.5,0.0,i,0.9,FWD,ARS,25
2,Gabriel dos Santos Magalhães,63,106.2,111,4.3,4.2,a,1.04,DEF,ARS,25
3,Kai Havertz,77,142.6,96,4.6,0.0,i,1.03,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,56,82.5,92,3.7,4.8,a,1.02,DEF,ARS,25
6,Jorge Luiz Frello Filho,47,11.3,16,1.3,0.8,a,1.17,MID,ARS,25
7,Jakub Kiwior,48,6.3,13,1.6,0.0,a,0.56,DEF,ARS,25
8,Gabriel Martinelli Silva,65,135.5,90,3.9,0.2,a,0.97,MID,ARS,25
9,Ethan Nwaneri,46,52.0,45,2.5,3.8,a,1.08,MID,ARS,25
10,Martin Ødegaard,82,133.0,71,3.5,2.8,a,1.05,MID,ARS,25
11,David Raya Martin,55,59.3,111,4.0,4.5,a,1.0,GKP,ARS,25
12,Declan Rice,62,148.1,86,3.3,4.2,a,1.05,MID,ARS,25
13,Bukayo Saka,102,174.9,107,6.7,0.0,i,1.14,MID,ARS,25
14,William Saliba,62,70.2,105,4.0,4.5,a,1.03,DEF,ARS,25
15,Thomas Partey,49,94.0,83,3.1,1.8,a,0.99,MID,ARS,25
16,Kieran Tierney,43,6.5,5,1.0,0.8,a,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,68,142.7,97,3.5,3.0,a,1.0,MID,ARS,25
19,Benjamin White,61,22.5,29,2.6,0.5,a,0.9,DEF,ARS,25
20,Oleksandr Zinchenko,48,9.7,19,1.9,0.5,a,0.62,DEF,ARS,25
21,Norberto Murara Neto,41,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,21.8,17,1.4,1.2,n,1.19,MID,ARS,25
23,Riccardo Calafiori,58,53.9,37,2.2,0.8,a,1.07,DEF,ARS,25
24,Myles Lewis-Skelly,45,22.3,19,1.5,0.5,a,1.07,MID,ARS,25
25,Mikel Merino,60,83.2,59,3.0,5.0,a,0.94,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,u,0.0,DEF,ARS,25
29,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
30,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
31,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
32,Mikel Arteta,15,0.0,39,0.0,4.8,a,0.0,,ARS,25
