id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,65,52.6,42,2.5,0.0,i,0.9,FWD,ARS,25
2,Gabriel dos Santos Magalhães,62,108.2,117,4.2,2.0,i,1.07,DEF,ARS,25
3,Kai Havertz,77,142.6,96,4.6,0.0,i,1.03,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,56,90.1,109,3.9,5.7,a,1.02,DEF,ARS,25
6,Jorge Luiz Frello Filho,46,12.5,17,1.3,0.3,a,1.18,MID,ARS,25
7,Jakub Kiwior,48,12.4,17,1.7,1.3,a,0.55,DEF,ARS,25
8,Gabriel Martinelli Silva,65,158.4,99,3.8,3.0,a,0.95,MID,ARS,25
9,Ethan Nwaneri,45,63.2,53,2.5,2.7,a,1.15,MID,ARS,25
10,Martin Ødegaard,82,147.4,79,3.4,2.7,a,1.03,MID,ARS,25
11,David Raya Martin,55,65.1,121,3.9,3.3,a,1.0,GKP,ARS,25
12,Declan Rice,62,164.7,92,3.2,2.0,d,1.04,MID,ARS,25
13,Bukayo Saka,104,185.7,116,6.4,3.0,d,1.08,MID,ARS,25
14,William Saliba,65,77.9,118,4.1,4.3,a,1.03,DEF,ARS,25
15,Thomas Partey,49,97.3,87,3.0,1.3,a,0.99,MID,ARS,25
16,Kieran Tierney,43,11.4,7,1.0,0.7,a,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,67,155.4,110,3.5,4.3,a,0.99,MID,ARS,25
19,Benjamin White,61,26.2,31,2.6,0.7,a,0.94,DEF,ARS,25
20,Oleksandr Zinchenko,48,9.7,19,1.9,0.0,a,0.62,DEF,ARS,25
21,Norberto Murara Neto,41,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,25.7,21,1.6,1.3,a,1.29,MID,ARS,25
23,Riccardo Calafiori,58,53.9,37,2.2,0.0,i,1.07,DEF,ARS,25
24,Myles Lewis-Skelly,45,27.3,26,1.6,2.3,a,1.07,MID,ARS,25
25,Mikel Merino,61,103.5,80,3.5,7.0,a,0.95,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,u,0.0,DEF,ARS,25
29,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
30,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
31,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
32,Mikel Arteta,15,0.0,60,0.0,7.0,a,0.0,,ARS,25
