id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,8.6,4,0.7,0.8,a,1.02,FWD,ARS,25
2,Gabriel dos Santos Magalhães,63,42.4,40,5.0,2.8,a,1.0,DEF,ARS,25
3,Kai Havertz,83,63.6,42,5.2,4.5,a,1.0,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,55,21.8,19,3.2,1.5,d,1.0,DEF,ARS,25
6,Jorge Luiz Frello Filho,48,2.7,4,2.0,0.5,a,1.2,MID,ARS,25
7,Jakub Kiwior,48,1.1,2,0.7,0.5,a,0.0,DEF,ARS,25
8,Gabriel Martinelli Silva,70,49.4,35,4.4,6.2,a,0.97,MID,ARS,25
9,Ethan Nwaneri,45,4.2,3,1.0,0.5,a,0.0,MID,ARS,25
10,Martin Ødegaard,82,17.0,7,2.3,0.0,i,1.07,MID,ARS,25
11,David Raya Martin,57,22.5,37,4.6,2.0,a,1.0,GKP,ARS,25
12,Declan Rice,63,30.7,10,1.4,1.8,a,1.08,MID,ARS,25
13,Bukayo Saka,101,101.4,54,7.7,5.8,d,1.11,MID,ARS,25
14,William Saliba,60,13.4,19,2.4,0.0,s,1.09,DEF,ARS,25
15,Thomas Partey,50,27.3,25,3.1,1.8,a,1.02,MID,ARS,25
16,Kieran Tierney,43,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.2,i,0.0,DEF,ARS,25
18,Leandro Trossard,69,35.7,26,3.2,3.5,a,1.11,MID,ARS,25
19,Benjamin White,63,10.3,21,3.5,0.2,a,0.91,DEF,ARS,25
20,Oleksandr Zinchenko,48,1.8,7,3.5,0.0,a,1.15,DEF,ARS,25
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,6.7,4,1.0,0.8,a,1.49,MID,ARS,25
23,Riccardo Calafiori,58,26.2,14,2.3,3.0,a,0.94,DEF,ARS,25
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
25,Mikel Merino,60,7.7,3,1.5,0.8,a,0.83,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
33,Leon Bailey,63,21.9,14,2.0,3.0,a,1.32,MID,AVL,25
34,Ross Barkley,52,14.3,10,1.4,1.3,a,0.4,MID,AVL,25
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
36,Emiliano Buendía Stati,53,1.3,4,1.0,0.7,a,0.0,MID,AVL,25
37,Matty Cash,44,5.2,11,2.8,2.7,a,1.3,DEF,AVL,25
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
40,Diego Carlos Santos Silva,45,6.4,11,2.8,3.0,a,0.78,DEF,AVL,25
41,Lucas Digne,46,29.7,28,3.5,4.0,a,1.18,DEF,AVL,25
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
43,Jhon Durán,62,28.4,28,3.5,1.0,a,0.0,FWD,AVL,25
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
45,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
47,Boubacar Kamara,50,0.0,0,0.0,0.0,a,0.0,MID,AVL,25
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL,25
49,Ezri Konsa Ngoyo,45,20.1,17,2.4,0.7,a,1.14,DEF,AVL,25
50,Ian Maatsen,48,12.0,7,1.0,0.7,a,0.0,DEF,AVL,25
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,25
52,Emiliano Martínez Romero,50,19.1,28,3.5,6.3,a,1.0,GKP,AVL,25
53,John McGinn,52,10.4,10,1.7,0.3,a,1.26,MID,AVL,25
54,Tyrone Mings,44,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
55,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL,25
56,Robin Olsen,45,0.0,0,0.0,0.0,i,0.0,GKP,AVL,25
57,Pau Torres,45,15.5,16,2.0,3.0,a,1.0,DEF,AVL,25
58,Jacob Ramsey,54,26.1,18,2.6,2.3,a,0.86,MID,AVL,25
59,Morgan Rogers,54,47.9,34,4.2,5.3,a,1.05,MID,AVL,25
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,25
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL,25
62,Youri Tielemans,55,48.2,30,3.8,4.3,a,1.01,MID,AVL,25
63,Ollie Watkins,91,55.8,49,6.1,7.0,a,1.19,FWD,AVL,25
64,Amadou Onana,51,28.2,27,3.9,1.3,a,1.27,MID,AVL,25
65,Jaden Philogene,53,2.2,3,0.6,0.7,s,0.56,MID,AVL,25
66,Lamare Bogarde,40,4.4,2,1.0,0.0,a,1.07,DEF,AVL,25
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL,25
70,Max Aarons,43,0.0,0,0.0,0.0,a,0.0,DEF,BOU,25
71,Tyler Adams,49,0.0,0,0.0,0.0,a,0.0,MID,BOU,25
72,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU,25
73,David Brooks,49,2.0,1,1.0,0.3,a,0.0,MID,BOU,25
74,Ryan Christie,49,27.4,18,2.2,3.3,a,1.12,MID,BOU,25
75,Lewis Cook,50,46.7,27,3.4,5.0,a,1.01,MID,BOU,25
76,Enes Ünal,54,7.2,5,1.0,1.0,a,0.0,FWD,BOU,25
77,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU,25
78,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU,25
79,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU,25
80,Daniel Jebbison,45,1.6,2,1.0,0.0,u,0.0,FWD,BOU,25
81,Milos Kerkez,44,21.3,17,2.1,3.3,a,1.08,DEF,BOU,25
82,Justin Kluivert,53,36.1,23,2.9,4.3,a,1.11,MID,BOU,25
83,Chris Mepham,44,0.0,0,0.0,0.0,u,0.0,DEF,BOU,25
84,Dango Ouattara,50,26.8,20,2.9,4.0,a,0.84,MID,BOU,25
85,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU,25
86,Philip Billing,48,1.4,2,1.0,0.0,a,0.0,MID,BOU,25
87,Alex Scott,48,15.8,11,1.4,1.7,a,0.7,MID,BOU,25
88,Antoine Semenyo,56,58.5,33,4.1,3.7,a,1.03,MID,BOU,25
89,Marcos Senesi,48,21.2,15,2.5,4.0,a,1.03,DEF,BOU,25
90,Luis Sinisterra,50,37.2,19,2.4,1.0,a,0.44,MID,BOU,25
91,Adam Smith,45,6.5,15,1.9,1.7,a,0.97,DEF,BOU,25
92,Marcus Tavernier,55,63.0,27,3.4,3.0,a,1.09,MID,BOU,25
