id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,0.1,0,0.0,0.0,d,0.0,FWD,ARS,25
2,Gabriel dos Santos Magalhães,60,9.7,14,4.7,4.7,a,1.0,DEF,ARS,25
3,Kai Havertz,81,24.7,22,7.3,7.3,a,1.0,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,55,4.5,8,2.7,2.7,a,1.01,DEF,ARS,25
6,Jorge Luiz Frello Filho,49,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
7,Jakub Kiwior,49,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
8,Gabriel Martinelli Silva,69,11.8,7,2.3,2.3,a,1.06,MID,ARS,25
9,Ethan Nwaneri,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
10,Martin Ødegaard,84,17.0,7,2.3,2.3,a,1.07,MID,ARS,25
11,David Raya Martin,55,9.0,20,6.7,6.7,a,1.0,GKP,ARS,25
12,Declan Rice,64,8.1,3,1.0,1.0,s,1.22,MID,ARS,25
13,Bukayo Saka,101,43.0,24,8.0,8.0,a,1.05,MID,ARS,25
14,William Saliba,60,6.4,14,4.7,4.7,a,1.0,DEF,ARS,25
15,Thomas Partey,50,13.2,15,5.0,5.0,a,1.0,MID,ARS,25
16,Kieran Tierney,44,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,49,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,69,11.1,9,3.0,3.0,a,0.97,MID,ARS,25
19,Benjamin White,65,6.3,14,4.7,4.7,a,1.0,DEF,ARS,25
20,Oleksandr Zinchenko,50,1.8,7,3.5,2.3,a,1.15,DEF,ARS,25
21,Norberto Murara Neto,45,7.8,7,3.5,2.3,a,1.0,GKP,ARS,25
22,Raheem Sterling,68,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
23,Riccardo Calafiori,58,0.2,2,1.0,0.7,a,0.0,DEF,ARS,25
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
25,Mikel Merino,60,0.0,0,0.0,0.0,i,0.0,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Leon Bailey,64,8.8,4,1.3,1.3,d,1.52,MID,AVL,25
29,Ross Barkley,53,2.3,2,1.0,0.7,a,0.0,MID,AVL,25
30,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
31,Emiliano Buendía Stati,54,0.0,0,0.0,0.0,a,0.0,MID,AVL,25
32,Matty Cash,44,2.6,3,1.5,1.0,i,1.88,DEF,AVL,25
33,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
34,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
35,Diego Carlos Santos Silva,45,0.0,0,0.0,0.0,d,0.0,DEF,AVL,25
36,Lucas Digne,45,11.0,11,3.7,3.7,a,1.13,DEF,AVL,25
37,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
38,Jhon Durán,60,14.9,14,4.7,4.7,a,0.0,FWD,AVL,25
39,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
40,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
41,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
42,Boubacar Kamara,50,0.0,0,0.0,0.0,d,0.0,MID,AVL,25
43,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL,25
44,Ezri Konsa Ngoyo,45,6.8,5,1.7,1.7,a,1.0,DEF,AVL,25
45,Ian Maatsen,49,4.3,3,1.0,1.0,a,0.0,DEF,AVL,25
46,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,25
47,Emiliano Martínez Romero,50,6.0,6,2.0,2.0,a,1.0,GKP,AVL,25
48,John McGinn,55,3.9,6,2.0,2.0,a,1.26,MID,AVL,25
49,Tyrone Mings,44,0.0,0,0.0,0.0,d,0.0,DEF,AVL,25
50,Kosta Nedeljković,40,2.9,3,1.0,1.0,a,0.0,DEF,AVL,25
51,Robin Olsen,45,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
52,Pau Torres,45,5.0,5,1.7,1.7,a,1.0,DEF,AVL,25
53,Jacob Ramsey,55,12.1,7,2.3,2.3,a,0.0,MID,AVL,25
54,Morgan Rogers,51,13.3,6,2.0,2.0,a,1.0,MID,AVL,25
55,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,25
56,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL,25
57,Youri Tielemans,55,16.1,10,3.3,3.3,a,1.0,MID,AVL,25
58,Ollie Watkins,89,10.6,9,3.0,3.0,d,1.46,FWD,AVL,25
59,Amadou Onana,51,19.2,20,6.7,6.7,a,1.19,MID,AVL,25
60,Jaden Philogene,54,0.5,0,0.0,0.0,d,0.0,MID,AVL,25
61,Lamare Bogarde,40,1.2,1,1.0,0.3,a,1.15,DEF,AVL,25
62,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
63,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
64,Max Aarons,45,0.0,0,0.0,0.0,a,0.0,DEF,BOU,25
65,Tyler Adams,50,0.0,0,0.0,0.0,i,0.0,MID,BOU,25
66,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU,25
67,David Brooks,49,0.0,0,0.0,0.0,d,0.0,MID,BOU,25
68,Ryan Christie,49,7.1,5,1.7,1.7,a,1.16,MID,BOU,25
69,Lewis Cook,50,15.7,10,3.3,3.3,a,1.03,MID,BOU,25
70,Enes Ünal,54,0.0,0,0.0,0.0,d,0.0,FWD,BOU,25
71,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU,25
72,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU,25
73,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU,25
74,Daniel Jebbison,45,1.6,2,1.0,0.7,u,0.0,FWD,BOU,25
75,Milos Kerkez,45,7.9,4,1.3,1.3,a,1.1,DEF,BOU,25
76,Justin Kluivert,54,13.3,8,2.7,2.7,a,0.96,MID,BOU,25
77,Chris Mepham,44,0.0,0,0.0,0.0,u,0.0,DEF,BOU,25
