id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,52.6,42,2.5,6.4,i,0.9,FWD,ARS,25
2,Gabriel dos Santos Magalhães,64,82.5,84,4.4,3.0,a,1.05,DEF,ARS,25
3,Kai Havertz,78,120.2,75,4.2,2.8,a,1.03,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,57,62.8,66,3.7,2.6,a,1.03,DEF,ARS,25
6,Jorge Luiz Frello Filho,47,10.4,13,1.3,0.6,a,1.18,MID,ARS,25
7,Jakub Kiwior,48,6.3,13,1.6,0.0,a,0.56,DEF,ARS,25
8,Gabriel Martinelli Silva,68,110.4,74,3.9,4.2,a,0.98,MID,ARS,25
9,Ethan Nwaneri,45,23.3,23,1.9,1.8,i,0.78,MID,ARS,25
10,Martin Ødegaard,83,96.0,52,3.7,3.2,a,1.06,MID,ARS,25
11,David Raya Martin,56,43.8,80,3.8,3.2,a,1.0,GKP,ARS,25
12,Declan Rice,62,99.3,54,2.8,4.2,a,1.04,MID,ARS,25
13,Bukayo Saka,102,174.9,107,6.7,0.2,i,1.14,MID,ARS,25
14,William Saliba,63,56.6,76,3.8,3.0,a,1.04,DEF,ARS,25
15,Thomas Partey,50,68.5,63,3.1,3.0,a,0.97,MID,ARS,25
16,Kieran Tierney,43,1.5,1,1.0,0.2,a,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,68,93.3,70,3.3,4.2,a,0.98,MID,ARS,25
19,Benjamin White,61,21.3,27,3.0,0.0,i,0.91,DEF,ARS,25
20,Oleksandr Zinchenko,48,7.2,17,2.1,0.4,a,0.76,DEF,ARS,25
21,Norberto Murara Neto,41,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,14.9,11,1.6,0.4,a,1.32,MID,ARS,25
