id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,32.3,26,1.9,3.8,a,0.77,FWD,ARS,25
2,Gabriel dos Santos Magalhães,63,69.8,73,4.9,4.4,a,1.06,DEF,ARS,25
3,Kai Havertz,79,102.7,67,4.2,4.2,a,1.04,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,57,52.8,54,3.6,4.8,a,1.04,DEF,ARS,25
6,Jorge Luiz Frello Filho,47,8.4,10,1.2,1.2,a,1.15,MID,ARS,25
7,Jakub Kiwior,48,6.3,13,1.6,1.8,a,0.56,DEF,ARS,25
8,Gabriel Martinelli Silva,67,90.9,60,4.0,2.6,a,1.05,MID,ARS,25
9,Ethan Nwaneri,45,13.1,15,1.5,0.8,a,0.0,MID,ARS,25
10,Martin Ødegaard,84,69.6,38,3.8,3.6,a,1.1,MID,ARS,25
11,David Raya Martin,56,38.8,67,3.9,3.8,a,1.0,GKP,ARS,25
12,Declan Rice,62,82.3,44,2.9,5.0,a,1.05,MID,ARS,25
13,Bukayo Saka,104,174.9,107,6.7,5.4,i,1.14,MID,ARS,25
14,William Saliba,63,46.7,63,3.9,6.6,a,1.04,DEF,ARS,25
15,Thomas Partey,50,58.2,53,3.3,2.8,a,0.96,MID,ARS,25
16,Kieran Tierney,43,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,68,74.9,52,3.1,3.6,a,0.98,MID,ARS,25
19,Benjamin White,61,21.3,27,3.0,0.0,i,0.91,DEF,ARS,25
20,Oleksandr Zinchenko,48,6.7,15,2.5,1.2,d,0.77,DEF,ARS,25
21,Norberto Murara Neto,42,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,11.3,9,1.5,0.2,i,1.25,MID,ARS,25
23,Riccardo Calafiori,58,33.9,24,2.7,0.8,a,1.01,DEF,ARS,25
24,Myles Lewis-Skelly,45,3.5,5,1.2,0.8,a,1.29,MID,ARS,25
25,Mikel Merino,60,32.1,22,2.2,1.2,a,0.95,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
33,Leon Bailey,62,35.7,27,1.9,0.8,a,1.24,MID,AVL,25
34,Ross Barkley,52,41.0,28,2.2,0.8,a,0.41,MID,AVL,25
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
36,Emiliano Buendía Stati,51,2.9,7,0.9,0.6,a,0.0,MID,AVL,25
37,Matty Cash,44,26.9,23,2.1,1.8,a,1.08,DEF,AVL,25
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
