id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,66,52.6,42,2.5,0.0,i,0.9,FWD,ARS,25
2,Gabriel dos Santos Magalhães,63,94.0,94,4.3,2.8,a,1.04,DEF,ARS,25
3,Kai Havertz,78,142.6,96,4.6,5.5,d,1.03,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,56,68.3,73,3.5,2.2,a,1.03,DEF,ARS,25
6,Jorge Luiz Frello Filho,47,10.4,13,1.3,0.0,a,1.18,MID,ARS,25
7,Jakub Kiwior,48,6.3,13,1.6,0.0,a,0.56,DEF,ARS,25
8,Gabriel Martinelli Silva,67,131.6,89,4.0,4.0,d,0.99,MID,ARS,25
9,Ethan Nwaneri,45,29.9,30,2.1,1.8,a,0.96,MID,ARS,25
10,Martin Ødegaard,82,105.6,60,3.8,4.0,a,1.05,MID,ARS,25
11,David Raya Martin,55,50.3,93,3.9,3.8,a,1.0,GKP,ARS,25
12,Declan Rice,62,123.2,69,3.1,4.2,a,1.04,MID,ARS,25
13,Bukayo Saka,102,174.9,107,6.7,0.0,i,1.14,MID,ARS,25
14,William Saliba,62,59.7,87,4.0,3.2,a,1.03,DEF,ARS,25
15,Thomas Partey,49,83.1,76,3.3,3.8,a,0.97,MID,ARS,25
16,Kieran Tierney,43,1.6,2,1.0,0.5,a,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,68,112.6,85,3.5,6.0,a,0.99,MID,ARS,25
19,Benjamin White,61,21.3,27,3.0,0.0,i,0.91,DEF,ARS,25
20,Oleksandr Zinchenko,48,7.2,17,2.1,0.2,a,0.76,DEF,ARS,25
21,Norberto Murara Neto,41,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,16.0,12,1.3,0.8,a,1.27,MID,ARS,25
23,Riccardo Calafiori,58,46.0,34,2.6,2.0,a,0.96,DEF,ARS,25
24,Myles Lewis-Skelly,45,19.9,17,1.7,2.0,a,1.15,MID,ARS,25
25,Mikel Merino,60,56.1,39,2.4,1.0,a,0.95,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,u,0.0,DEF,ARS,25
29,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
30,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
31,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
32,Mikel Arteta,15,0.0,20,0.0,10.0,a,0.0,,ARS,25
