id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,0.1,1,0.5,0.3,a,0.0,FWD,ARS,25
2,Gabriel dos Santos Magalhães,60,19.1,29,7.2,7.7,a,1.0,DEF,ARS,25
3,Kai Havertz,81,30.8,24,6.0,4.0,a,1.0,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,55,6.7,13,3.2,4.0,a,1.01,DEF,ARS,25
6,Jorge Luiz Frello Filho,49,0.2,2,2.0,0.7,a,1.0,MID,ARS,25
7,Jakub Kiwior,49,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
8,Gabriel Martinelli Silva,69,19.7,10,2.5,2.3,a,1.08,MID,ARS,25
9,Ethan Nwaneri,45,0.9,1,1.0,0.3,a,0.0,MID,ARS,25
10,Martin Ødegaard,83,17.0,7,2.3,1.3,i,1.07,MID,ARS,25
11,David Raya Martin,55,13.1,29,7.2,7.0,a,1.0,GKP,ARS,25
12,Declan Rice,63,8.1,3,1.0,0.0,a,1.22,MID,ARS,25
13,Bukayo Saka,100,50.5,31,7.8,6.3,a,1.06,MID,ARS,25
14,William Saliba,60,7.5,19,4.8,4.3,a,1.0,DEF,ARS,25
15,Thomas Partey,50,15.5,18,4.5,5.0,a,1.0,MID,ARS,25
16,Kieran Tierney,44,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,69,14.7,12,3.0,3.7,a,1.05,MID,ARS,25
19,Benjamin White,65,7.5,20,5.0,4.7,a,1.0,DEF,ARS,25
20,Oleksandr Zinchenko,49,1.8,7,3.5,0.3,d,1.15,DEF,ARS,25
21,Norberto Murara Neto,44,7.8,7,3.5,1.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,68,0.2,1,1.0,0.3,a,0.0,MID,ARS,25
23,Riccardo Calafiori,58,0.2,2,1.0,0.7,a,0.0,DEF,ARS,25
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
25,Mikel Merino,60,0.0,0,0.0,0.0,i,0.0,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
31,Leon Bailey,64,8.8,4,1.3,1.0,a,1.52,MID,AVL,25
32,Ross Barkley,53,6.2,6,2.0,2.0,a,0.0,MID,AVL,25
33,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
34,Emiliano Buendía Stati,54,0.1,1,1.0,0.3,a,0.0,MID,AVL,25
35,Matty Cash,44,2.6,3,1.5,0.3,d,1.88,DEF,AVL,25
36,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
37,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
38,Diego Carlos Santos Silva,45,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
39,Lucas Digne,46,19.7,15,3.8,4.3,a,1.18,DEF,AVL,25
40,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
41,Jhon Durán,61,19.4,20,5.0,4.7,a,0.0,FWD,AVL,25
42,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
43,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
44,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
45,Boubacar Kamara,50,0.0,0,0.0,0.0,d,0.0,MID,AVL,25
46,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL,25
47,Ezri Konsa Ngoyo,45,9.5,6,1.5,1.3,a,1.0,DEF,AVL,25
48,Ian Maatsen,49,8.6,4,1.0,1.0,a,0.0,DEF,AVL,25
49,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,25
50,Emiliano Martínez Romero,50,6.4,6,1.5,1.0,a,1.0,GKP,AVL,25
51,John McGinn,54,8.1,8,2.0,2.0,a,1.18,MID,AVL,25
52,Tyrone Mings,44,0.0,0,0.0,0.0,d,0.0,DEF,AVL,25
53,Kosta Nedeljković,40,2.9,3,1.0,0.7,a,0.0,DEF,AVL,25
54,Robin Olsen,45,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
55,Pau Torres,45,8.1,6,1.5,1.3,a,1.0,DEF,AVL,25
56,Jacob Ramsey,55,14.2,9,2.2,1.7,a,0.49,MID,AVL,25
57,Morgan Rogers,51,22.2,8,2.0,2.0,a,1.0,MID,AVL,25
58,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,25
59,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL,25
60,Youri Tielemans,55,22.6,12,3.0,1.7,a,1.0,MID,AVL,25
61,Ollie Watkins,90,27.7,22,5.5,6.7,a,1.34,FWD,AVL,25
62,Amadou Onana,52,19.7,21,5.2,3.7,a,1.33,MID,AVL,25
63,Jaden Philogene,53,0.6,1,0.5,0.3,i,0.0,MID,AVL,25
64,Lamare Bogarde,40,4.4,2,1.0,0.7,a,1.07,DEF,AVL,25
65,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
66,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
67,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL,25
68,Max Aarons,44,0.0,0,0.0,0.0,a,0.0,DEF,BOU,25
69,Tyler Adams,49,0.0,0,0.0,0.0,i,0.0,MID,BOU,25
70,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU,25
71,David Brooks,49,0.0,0,0.0,0.0,a,0.0,MID,BOU,25
72,Ryan Christie,49,11.8,7,1.8,2.0,a,1.22,MID,BOU,25
73,Lewis Cook,50,18.3,11,2.8,3.3,a,1.02,MID,BOU,25
74,Enes Ünal,54,4.2,1,1.0,0.3,a,0.0,FWD,BOU,25
75,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU,25
76,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU,25
77,James Hill,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU,25
78,Daniel Jebbison,45,1.6,2,1.0,0.3,u,0.0,FWD,BOU,25
79,Milos Kerkez,45,9.2,6,1.5,1.7,a,1.07,DEF,BOU,25
80,Justin Kluivert,54,19.6,10,2.5,3.3,a,1.03,MID,BOU,25
81,Chris Mepham,44,0.0,0,0.0,0.0,u,0.0,DEF,BOU,25
82,Dango Ouattara,50,10.6,7,2.3,1.7,d,0.82,MID,BOU,25
83,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU,25
84,Philip Billing,48,1.4,2,1.0,0.3,a,0.0,MID,BOU,25
85,Alex Scott,49,5.9,5,1.2,1.0,a,0.67,MID,BOU,25
86,Antoine Semenyo,56,32.4,20,5.0,4.0,a,1.0,MID,BOU,25
87,Marcos Senesi,49,11.2,3,1.0,1.0,a,1.05,DEF,BOU,25
88,Luis Sinisterra,50,19.5,15,3.8,4.3,a,0.7,MID,BOU,25
89,Adam Smith,45,4.0,9,2.2,2.3,a,1.18,DEF,BOU,25
90,Marcus Tavernier,55,41.6,16,4.0,4.7,a,1.04,MID,BOU,25
91,Mark Travers,44,1.4,2,2.0,0.7,a,1.0,GKP,BOU,25
92,Illia Zabarnyi,45,8.4,7,1.8,1.7,a,1.0,DEF,BOU,25
93,Kepa Arrizabalaga,45,4.4,3,3.0,1.0,a,1.0,GKP,BOU,25
94,Dean Huijsen,45,4.3,3,1.5,0.3,a,0.87,DEF,BOU,25
95,Julián Araujo Zúñiga,45,2.6,5,1.2,1.3,a,0.89,DEF,BOU,25
96,Will Dennis,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU,25
97,Francisco Evanilson de Lima Barbosa,59,10.5,4,1.3,1.3,a,1.34,FWD,BOU,25
98,Kristoffer Ajer,45,9.1,5,1.2,1.0,a,1.25,DEF,BRE,25
99,Ethan Brierley,45,0.0,0,0.0,0.0,a,0.0,MID,BRE,25
100,Nathan Collins,45,22.3,12,3.0,2.0,a,1.0,DEF,BRE,25
101,Mikkel Damsgaard,50,14.6,7,1.8,2.0,a,0.88,MID,BRE,25
102,Josh Dasilva,49,0.0,0,0.0,0.0,i,0.0,MID,BRE,25
103,Mark Flekken,45,17.8,12,3.0,2.7,a,1.0,GKP,BRE,25
104,Rico Henry,44,0.0,0,0.0,0.0,i,0.0,DEF,BRE,25
105,Aaron Hickey,44,0.0,0,0.0,0.0,i,0.0,DEF,BRE,25
106,Vitaly Janelt,49,7.1,9,2.2,2.3,a,1.24,MID,BRE,25
107,Mathias Jensen,54,12.9,9,3.0,2.3,i,1.13,MID,BRE,25
108,Kim Ji-soo,40,0.0,0,0.0,0.0,a,0.0,DEF,BRE,25
109,Yunus Emre Konak,45,0.0,0,0.0,0.0,a,0.0,MID,BRE,25
110,Keane Lewis-Potter,50,6.9,6,1.5,1.7,a,0.97,MID,BRE,25
111,Bryan Mbeumo,71,38.6,26,6.5,5.7,a,1.0,MID,BRE,25
112,Ben Mee,44,0.0,1,1.0,0.0,a,0.0,DEF,BRE,25
113,Christian Nørgaard,49,13.1,7,1.8,1.7,a,1.0,MID,BRE,25
114,Frank Onyeka,49,0.0,2,1.0,0.3,u,0.0,MID,BRE,25
115,Myles Peart-Harris,45,0.0,0,0.0,0.0,u,0.0,MID,BRE,25
116,Ethan Pinnock,45,14.7,3,0.8,1.0,a,1.0,DEF,BRE,25
117,Mads Roerslev Rasmussen,45,4.8,5,1.2,1.0,a,0.72,DEF,BRE,25
118,Kevin Schade,54,8.5,10,2.5,2.7,a,0.86,MID,BRE,25
119,Igor Thiago Nascimento Rodrigues,59,0.0,0,0.0,0.0,i,0.0,FWD,BRE,25
120,Ivan Toney,73,0.0,0,0.0,0.0,u,0.0,FWD,BRE,25
121,Hákon Valdimarsson,40,0.0,0,0.0,0.0,a,0.0,GKP,BRE,25
122,Yoane Wissa,61,33.7,28,7.0,5.7,i,1.24,FWD,BRE,25
123,Yehor Yarmoliuk,45,0.0,1,1.0,0.3,a,0.0,MID,BRE,25
124,Mathias Jorgensen,45,0.0,0,0.0,0.0,u,0.0,DEF,BRE,25
125,Fábio Freitas Gouveia Carvalho,48,2.2,4,1.0,1.0,a,0.0,MID,BRE,25
126,Sepp van den Berg,40,1.9,2,1.0,0.7,a,0.86,DEF,BRE,25
127,Ryan Trevitt,45,0.0,0,0.0,0.0,a,0.0,MID,BRE,25
128,Gustavo Nunes Fernandes Gomes,50,0.0,0,0.0,0.0,i,0.0,MID,BRE,25
129,Jayden Meghoma,40,0.0,0,0.0,0.0,a,0.0,DEF,BRE,25
130,Simon Adingra,55,11.6,12,3.0,2.0,a,0.0,MID,BHA,25
131,Benicio Baker-Boaitey,45,0.0,0,0.0,0.0,u,0.0,MID,BHA,25
132,Carlos Baleba,50,8.6,6,2.0,2.0,a,0.91,MID,BHA,25
133,Valentín Barco,40,0.0,0,0.0,0.0,u,0.0,DEF,BHA,25
134,Amario Cozier-Duberry,45,0.0,0,0.0,0.0,u,0.0,MID,BHA,25
135,Mahmoud Dahoud,49,0.0,0,0.0,0.0,u,0.0,MID,BHA,25
136,Lewis Dunk,46,12.6,16,4.0,3.3,a,1.04,DEF,BHA,25
137,Julio Enciso,54,6.4,3,1.0,1.0,a,0.0,MID,BHA,25
138,Pervis Estupiñán,50,4.6,1,1.0,0.3,a,0.0,DEF,BHA,25
139,Evan Ferguson,55,0.0,1,1.0,0.3,a,0.0,FWD,BHA,25
140,Billy Gilmour,50,2.5,3,1.5,0.7,u,0.93,MID,BHA,25
141,Pascal Groß,65,0.0,0,0.0,0.0,u,0.0,MID,BHA,25
142,Jack Hinshelwood,50,13.0,9,2.2,2.0,a,1.07,MID,BHA,25
143,Ibrahim Osman,50,0.0,0,0.0,0.0,u,0.0,MID,BHA,25
144,Igor Julio dos Santos de Paulo,44,0.0,0,0.0,0.0,a,0.0,DEF,BHA,25
145,João Pedro Junqueira de Jesus,57,24.0,18,6.0,5.3,d,1.03,FWD,BHA,25
146,Kacper Kozłowski,45,0.0,0,0.0,0.0,u,0.0,MID,BHA,25
147,Tariq Lamptey,45,0.0,0,0.0,0.0,a,0.0,DEF,BHA,25
148,Solly March,65,0.0,0,0.0,0.0,i,0.0,MID,BHA,25
149,Adrian Mazilu,45,0.0,0,0.0,0.0,u,0.0,MID,BHA,25
150,James Milner,50,10.7,5,1.7,1.0,i,1.6,MID,BHA,25
151,Yankuba Minteh,55,20.9,12,3.0,2.7,a,1.32,MID,BHA,25
152,Mitoma Kaoru,67,29.1,19,4.8,3.7,a,1.03,MID,BHA,25
153,Jakub Moder,44,0.0,0,0.0,0.0,a,0.0,MID,BHA,25
154,Mark O’Mahony,45,0.0,0,0.0,0.0,u,0.0,FWD,BHA,25
155,Odeluga Offiah,40,0.0,0,0.0,0.0,u,0.0,DEF,BHA,25
156,Cameron Peupion,45,0.0,0,0.0,0.0,a,0.0,MID,BHA,25
157,Jeremy Sarmiento Morante,49,0.1,1,1.0,0.0,u,0.0,MID,BHA,25
158,Jason Steele,45,4.1,9,4.5,0.7,a,1.0,GKP,BHA,25
159,Deniz Undav,55,0.0,0,0.0,0.0,u,0.0,FWD,BHA,25
160,Jan Paul van Hecke,45,9.9,15,3.8,3.0,a,1.0,DEF,BHA,25
161,Joël Veltman,45,10.3,19,4.8,3.7,a,1.06,DEF,BHA,25
162,Bart Verbruggen,45,6.1,9,4.5,3.0,a,1.0,GKP,BHA,25
163,Adam Webster,44,0.8,1,1.0,0.0,a,0.0,DEF,BHA,25
164,Danny Welbeck,58,30.1,25,6.2,4.3,a,1.07,FWD,BHA,25
165,Mats Wieffer,49,4.7,6,6.0,0.0,a,1.0,MID,BHA,25
166,Brajan Gruda,54,0.0,0,0.0,0.0,d,0.0,MID,BHA,25
167,Yasin Ayari,50,12.5,7,1.8,2.0,a,0.55,MID,BHA,25
168,Andrew Moran,50,0.0,0,0.0,0.0,u,0.0,MID,BHA,25
169,Carl Rushworth,40,0.0,0,0.0,0.0,u,0.0,GKP,BHA,25
170,Georginio Rutter,55,7.0,5,1.7,1.7,a,1.06,MID,BHA,25
171,Ferdi Kadioglu,45,3.2,1,1.0,0.5,a,0.0,DEF,BHA,25
172,Matt O'Riley,55,0.0,0,0.0,0.0,i,0.0,MID,BHA,25
173,Andrey Nascimento dos Santos,45,0.0,0,0.0,0.0,u,0.0,MID,CHE,25
174,Ângelo Gabriel Borges Damaceno,45,0.0,0,0.0,0.0,u,0.0,MID,CHE,25
175,Benoît Badiashile,44,0.0,0,0.0,0.0,a,0.0,DEF,CHE,25
176,Lucas Bergström,40,0.0,0,0.0,0.0,a,0.0,GKP,CHE,25
177,Marcus Bettinelli,40,0.0,0,0.0,0.0,a,0.0,GKP,CHE,25
178,Moisés Caicedo Corozo,49,10.4,8,2.0,2.3,a,1.04,MID,CHE,25
179,Cesare Casadei,45,0.0,0,0.0,0.0,a,0.0,MID,CHE,25
180,Ben Chilwell,48,0.0,0,0.0,0.0,a,0.0,DEF,CHE,25
181,Carney Chukwuemeka,49,0.0,0,0.0,0.0,a,0.0,MID,CHE,25
182,Levi Colwill,45,13.0,9,2.2,2.7,a,1.0,DEF,CHE,25
183,Marc Cucurella Saseta,50,7.4,9,2.2,2.3,a,1.06,DEF,CHE,25
184,David Datro Fofana,54,0.0,0,0.0,0.0,u,0.0,FWD,CHE,25
185,Deivid Washington de Souza Eugênio,50,0.0,0,0.0,0.0,a,0.0,FWD,CHE,25
186,Kiernan Dewsbury-Hall,58,0.4,2,1.0,0.3,a,0.0,MID,CHE,25
187,Axel Disasi,44,0.8,6,6.0,2.0,a,1.48,DEF,CHE,25
188,Enzo Fernández,50,14.1,6,2.0,1.3,a,1.0,MID,CHE,25
189,Conor Gallagher,59,0.0,0,0.0,0.0,u,0.0,MID,CHE,25
190,Alfie Gilchrist,40,0.0,0,0.0,0.0,u,0.0,DEF,CHE,25
191,Malo Gusto,49,6.4,3,1.0,0.7,i,1.07,DEF,CHE,25
192,Reece James,50,0.0,0,0.0,0.0,i,0.0,DEF,CHE,25
193,Omari Kellyman,45,0.0,0,0.0,0.0,i,0.0,MID,CHE,25
194,Roméo Lavia,45,2.9,2,2.0,0.0,d,1.38,MID,CHE,25
195,Romelu Lukaku Bolingoli,63,0.0,0,0.0,0.0,u,0.0,FWD,CHE,25
196,Malang Sarr,45,0.0,0,0.0,0.0,u,0.0,DEF,CHE,25
197,Noni Madueke,66,29.0,25,8.3,8.3,a,1.15,MID,CHE,25
198,Marc Guiu Paz,50,0.0,1,1.0,0.0,a,0.0,FWD,CHE,25
199,Mykhailo Mudryk,63,2.2,2,1.0,0.7,a,1.48,MID,CHE,25
200,Nicolas Jackson,76,31.4,19,4.8,5.7,a,1.2,FWD,CHE,25
201,Christopher Nkunku,62,12.0,10,2.5,3.0,a,1.14,MID,CHE,25
202,Cole Palmer,106,34.8,28,7.0,8.7,a,1.02,MID,CHE,25
203,Đorđe Petrović,44,0.0,0,0.0,0.0,u,0.0,GKP,CHE,25
204,Renato Palma Veiga,45,3.9,4,1.3,1.0,a,0.84,MID,CHE,25
205,Robert Sánchez,46,12.0,20,5.0,6.0,a,1.0,GKP,CHE,25
206,Tosin Adarabioyo,44,2.2,1,1.0,0.3,a,0.0,DEF,CHE,25
207,Wesley Fofana,45,11.5,10,2.5,3.0,a,1.0,DEF,CHE,25
208,Jadon Sancho,63,5.3,3,3.0,1.0,a,0.0,MID,CHE,25
209,Pedro Lomba Neto,64,10.6,6,1.5,1.7,a,1.01,MID,CHE,25
210,Caleb Wiley,40,0.0,0,0.0,0.0,u,0.0,DEF,CHE,25
211,Filip Jørgensen,44,0.0,0,0.0,0.0,a,0.0,GKP,CHE,25
212,João Félix Sequeira,64,8.4,7,2.3,2.3,a,0.0,MID,CHE,25
213,Eddie Nketiah,59,7.1,2,2.0,0.7,a,1.0,FWD,CRY,25
214,Trevoh Chalobah,44,0.0,0,0.0,0.0,i,0.0,DEF,CRY,25
215,Naouirou Ahamada,45,0.0,0,0.0,0.0,u,0.0,MID,CRY,25
216,Cheick Doucouré,49,2.9,6,2.0,1.7,i,0.99,MID,CRY,25
217,Chris Richards,45,4.5,3,1.0,1.0,a,1.07,DEF,CRY,25
218,Chadi Riad Dnanou,44,2.0,1,1.0,0.3,i,1.0,DEF,CRY,25
219,Nathaniel Clyne,44,3.0,3,1.5,1.0,a,1.18,DEF,CRY,25
220,Malcolm Ebiowei,45,0.0,0,0.0,0.0,u,0.0,MID,CRY,25
221,Eberechi Eze,69,35.1,16,4.0,4.7,a,1.0,MID,CRY,25
222,Marc Guéhi,45,11.3,4,1.0,1.3,a,1.0,DEF,CRY,25
223,Dean Henderson,45,10.2,8,2.0,2.0,a,1.0,GKP,CRY,25
224,Rob Holding,44,0.0,0,0.0,0.0,a,0.0,DEF,CRY,25
225,Will Hughes,49,4.7,3,1.0,0.3,a,1.02,MID,CRY,25
226,Daichi Kamada,53,12.7,5,1.2,1.3,a,0.86,MID,CRY,25
227,Jefferson Lerma Solís,49,2.8,3,1.5,0.7,a,1.15,MID,CRY,25
228,Jean-Philippe Mateta,74,17.3,18,4.5,5.7,a,1.23,FWD,CRY,25
229,Matheus França de Oliveira,44,0.0,0,0.0,0.0,i,0.0,MID,CRY,25
230,Remi Matthews,40,0.0,0,0.0,0.0,a,0.0,GKP,CRY,25
231,Tyrick Mitchell,49,23.8,8,2.0,2.3,a,1.01,DEF,CRY,25
232,Daniel Muñoz,49,14.9,7,1.8,1.0,a,1.03,DEF,CRY,25
233,David Ozoh,45,0.0,0,0.0,0.0,u,0.0,MID,CRY,25
234,Jesurun Rak-Sakyi,45,0.0,0,0.0,0.0,u,0.0,MID,CRY,25
235,Jeffrey Schlupp,49,0.3,3,1.0,1.0,a,0.0,MID,CRY,25
236,Joel Ward,44,0.0,0,0.0,0.0,a,0.0,DEF,CRY,25
237,Adam Wharton,49,17.8,8,2.0,2.0,a,1.05,MID,CRY,25
238,Matt Turner,40,0.0,0,0.0,0.0,a,0.0,GKP,CRY,25
239,Ismaïla Sarr,59,8.1,7,1.8,2.0,a,0.0,MID,CRY,25
240,Franco Umeh-Chibueze,45,0.0,0,0.0,0.0,a,0.0,MID,CRY,25
241,Justin Devenny,45,0.0,0,0.0,0.0,a,0.0,MID,CRY,25
242,Asher Agbinone,45,0.0,0,0.0,0.0,a,0.0,MID,CRY,25
243,Kaden Rodney,45,0.0,0,0.0,0.0,a,0.0,MID,CRY,25
244,Maxence Lacroix,45,3.0,1,1.0,1.0,a,1.0,DEF,CRY,25
245,Armando Broja,55,0.0,0,0.0,0.0,i,0.0,FWD,EVE,25
246,Abdoulaye Doucouré,53,2.6,4,1.3,0.7,a,1.44,MID,EVE,25
247,Norberto Bercique Gomes Betuncal,50,0.2,4,1.0,1.0,a,0.0,FWD,EVE,25
248,Jarrad Branthwaite,49,0.0,0,0.0,0.0,i,0.0,DEF,EVE,25
249,Dominic Calvert-Lewin,59,20.2,22,5.5,6.7,d,1.11,FWD,EVE,25
250,Séamus Coleman,44,3.9,1,1.0,0.3,i,1.0,DEF,EVE,25
251,Idrissa Gueye,49,7.6,8,2.0,2.0,i,1.08,MID,EVE,25
252,James Garner,50,3.4,2,2.0,0.7,d,0.0,MID,EVE,25
253,Jack Harrison,54,17.7,7,1.8,1.7,d,1.23,MID,EVE,25
254,Mason Holgate,40,0.0,1,1.0,0.0,u,0.0,DEF,EVE,25
255,Tim Iroegbunam,45,9.5,6,1.5,1.3,a,1.03,MID,EVE,25
256,João Neves Virgínia,40,0.0,0,0.0,0.0,a,0.0,GKP,EVE,25
257,Michael Keane,40,14.9,8,2.0,2.3,d,1.0,DEF,EVE,25
258,Neal Maupay,49,0.0,0,0.0,0.0,u,0.0,FWD,EVE,25
259,Dwight McNeil,54,42.3,22,5.5,6.7,a,1.0,MID,EVE,25
260,Vitalii Mykolenko,44,6.6,3,0.8,0.7,d,1.22,DEF,EVE,25
261,Iliman Ndiaye,54,10.3,5,1.2,1.3,a,0.81,FWD,EVE,25
262,Nathan Patterson,44,0.0,0,0.0,0.0,i,0.0,DEF,EVE,25
263,Jordan Pickford,49,10.6,6,1.5,1.7,a,1.0,GKP,EVE,25
264,James Tarkowski,49,14.2,2,0.5,0.7,d,1.0,DEF,EVE,25
265,Youssef Ramalho Chermiti,49,0.0,0,0.0,0.0,i,0.0,FWD,EVE,25
266,Ashley Young,45,4.0,-2,-1.0,0.0,a,1.16,DEF,EVE,25
