id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,68,7.9,3,0.6,0.8,a,1.15,FWD,ARS,25
2,Gabriel dos Santos Magalhães,62,39.6,39,5.6,6.2,a,1.0,DEF,ARS,25
3,Kai Havertz,83,61.9,40,5.7,4.5,d,1.0,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,55,21.8,19,3.2,2.8,d,1.0,DEF,ARS,25
6,Jorge Luiz Frello Filho,48,2.7,4,2.0,1.0,a,1.2,MID,ARS,25
7,Jakub Kiwior,48,0.8,2,1.0,0.5,a,0.0,DEF,ARS,25
8,Gabriel Martinelli Silva,70,46.8,34,4.9,6.8,a,1.03,MID,ARS,25
9,Ethan Nwaneri,45,4.1,2,1.0,0.5,a,0.0,MID,ARS,25
10,Martin Ødegaard,82,17.0,7,2.3,0.0,i,1.07,MID,ARS,25
11,David Raya Martin,56,21.3,36,5.1,4.0,a,1.0,GKP,ARS,25
12,Declan Rice,63,24.6,8,1.3,1.2,a,1.1,MID,ARS,25
13,Bukayo Saka,101,101.4,54,7.7,7.5,a,1.11,MID,ARS,25
14,William Saliba,60,13.4,22,3.1,2.0,a,1.0,DEF,ARS,25
15,Thomas Partey,50,26.4,23,3.3,2.0,a,1.02,MID,ARS,25
16,Kieran Tierney,44,0.0,0,0.0,0.0,i,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.2,a,0.0,DEF,ARS,25
18,Leandro Trossard,69,34.6,23,3.3,3.5,a,1.05,MID,ARS,25
19,Benjamin White,63,9.1,21,4.2,1.8,d,0.89,DEF,ARS,25
20,Oleksandr Zinchenko,48,1.8,7,3.5,0.0,d,1.15,DEF,ARS,25
21,Norberto Murara Neto,43,7.8,7,3.5,0.0,n,1.0,GKP,ARS,25
22,Raheem Sterling,67,5.5,3,1.0,0.8,a,1.06,MID,ARS,25
23,Riccardo Calafiori,58,22.8,13,2.6,2.8,a,0.92,DEF,ARS,25
24,Myles Lewis-Skelly,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
25,Mikel Merino,60,3.4,1,1.0,0.2,a,0.0,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
33,Leon Bailey,63,18.9,13,2.2,2.2,a,1.29,MID,AVL,25
34,Ross Barkley,52,12.0,9,1.5,1.8,a,0.43,MID,AVL,25
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
36,Emiliano Buendía Stati,53,1.0,3,1.0,0.8,a,0.0,MID,AVL,25
37,Matty Cash,44,4.1,9,3.0,1.5,a,1.45,DEF,AVL,25
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
40,Diego Carlos Santos Silva,45,4.9,9,3.0,2.2,a,0.7,DEF,AVL,25
41,Lucas Digne,46,25.4,24,3.4,3.2,a,1.22,DEF,AVL,25
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
43,Jhon Durán,62,27.9,27,3.9,3.2,a,0.0,FWD,AVL,25
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
45,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL,25
47,Boubacar Kamara,50,0.0,0,0.0,0.0,d,0.0,MID,AVL,25
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL,25
49,Ezri Konsa Ngoyo,45,20.1,17,2.4,3.0,d,1.14,DEF,AVL,25
50,Ian Maatsen,48,12.0,7,1.0,1.0,a,0.0,DEF,AVL,25
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,25
52,Emiliano Martínez Romero,50,14.3,20,2.9,3.5,a,1.0,GKP,AVL,25
53,John McGinn,53,8.8,9,1.8,0.8,i,1.29,MID,AVL,25
54,Tyrone Mings,44,0.0,0,0.0,0.0,d,0.0,DEF,AVL,25
55,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL,25
56,Robin Olsen,45,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
57,Pau Torres,45,13.6,14,2.0,2.2,a,1.0,DEF,AVL,25
58,Jacob Ramsey,55,18.5,13,2.2,1.5,d,0.81,MID,AVL,25
59,Morgan Rogers,53,40.7,28,4.0,5.5,a,1.04,MID,AVL,25
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL,25
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL,25
62,Youri Tielemans,55,38.0,22,3.1,3.0,a,1.01,MID,AVL,25
63,Ollie Watkins,91,48.2,41,5.9,8.0,a,1.19,FWD,AVL,25
64,Amadou Onana,51,25.6,25,4.2,1.2,d,1.28,MID,AVL,25
65,Jaden Philogene,53,2.2,5,1.2,1.2,a,0.68,MID,AVL,25
66,Lamare Bogarde,40,4.4,2,1.0,0.2,a,1.07,DEF,AVL,25
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL,25
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL,25
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL,25
