id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,66,52.6,42,2.5,2.8,i,0.9,FWD,ARS,25
2,Gabriel dos Santos Magalhães,64,91.7,92,4.4,2.6,a,1.05,DEF,ARS,25
3,Kai Havertz,78,132.1,84,4.2,2.0,a,1.03,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,56,66.0,72,3.6,1.8,a,1.03,DEF,ARS,25
6,Jorge Luiz Frello Filho,47,10.4,13,1.3,0.6,a,1.18,MID,ARS,25
7,Jakub Kiwior,48,6.3,13,1.6,0.0,a,0.56,DEF,ARS,25
8,Gabriel Martinelli Silva,67,124.7,84,4.0,4.2,a,0.99,MID,ARS,25
9,Ethan Nwaneri,45,24.0,24,1.8,1.8,a,0.98,MID,ARS,25
10,Martin Ødegaard,82,100.0,54,3.6,2.6,a,1.05,MID,ARS,25
11,David Raya Martin,55,47.7,90,3.9,3.4,a,1.0,GKP,ARS,25
12,Declan Rice,62,113.4,59,2.8,2.4,a,1.04,MID,ARS,25
13,Bukayo Saka,102,174.9,107,6.7,0.0,i,1.14,MID,ARS,25
14,William Saliba,62,58.2,85,4.0,3.0,a,1.03,DEF,ARS,25
15,Thomas Partey,50,75.8,68,3.1,2.8,a,0.97,MID,ARS,25
16,Kieran Tierney,43,1.6,2,1.0,0.4,a,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,68,111.8,83,3.6,5.0,a,0.99,MID,ARS,25
19,Benjamin White,61,21.3,27,3.0,0.0,i,0.91,DEF,ARS,25
20,Oleksandr Zinchenko,48,7.2,17,2.1,0.4,a,0.76,DEF,ARS,25
21,Norberto Murara Neto,41,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,15.8,11,1.4,0.4,a,1.27,MID,ARS,25
23,Riccardo Calafiori,58,45.9,33,2.8,1.8,a,0.96,DEF,ARS,25
24,Myles Lewis-Skelly,45,13.7,10,1.1,0.4,s,1.17,MID,ARS,25
25,Mikel Merino,60,55.9,38,2.5,3.0,d,0.96,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
