id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team,season
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS,25
1,Gabriel Fernando de Jesus,65,52.6,42,2.5,0.0,i,0.9,FWD,ARS,25
2,Gabriel dos Santos Magalhães,63,102.8,109,4.4,5.0,a,1.04,DEF,ARS,25
3,Kai Havertz,77,142.6,96,4.6,0.0,i,1.03,FWD,ARS,25
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS,25
5,Jurriën Timber,56,77.9,87,3.6,4.7,a,1.03,DEF,ARS,25
6,Jorge Luiz Frello Filho,47,11.3,16,1.3,1.0,a,1.17,MID,ARS,25
7,Jakub Kiwior,48,6.3,13,1.6,0.0,a,0.56,DEF,ARS,25
8,Gabriel Martinelli Silva,65,131.6,89,4.0,0.0,i,0.99,MID,ARS,25
9,Ethan Nwaneri,46,50.7,44,2.6,4.7,a,1.02,MID,ARS,25
10,Martin Ødegaard,82,122.1,68,3.6,2.7,a,1.05,MID,ARS,25
11,David Raya Martin,55,55.3,108,4.0,5.0,a,1.0,GKP,ARS,25
12,Declan Rice,62,139.5,76,3.0,2.3,a,1.05,MID,ARS,25
13,Bukayo Saka,102,174.9,107,6.7,0.0,i,1.14,MID,ARS,25
14,William Saliba,62,67.2,103,4.1,5.3,a,1.03,DEF,ARS,25
15,Thomas Partey,49,89.6,81,3.1,1.7,a,0.98,MID,ARS,25
16,Kieran Tierney,43,4.6,4,1.0,0.7,a,0.0,DEF,ARS,25
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS,25
18,Leandro Trossard,68,136.4,96,3.6,3.7,a,0.99,MID,ARS,25
19,Benjamin White,61,22.5,29,2.6,0.7,a,0.9,DEF,ARS,25
20,Oleksandr Zinchenko,48,9.7,19,1.9,0.7,a,0.62,DEF,ARS,25
21,Norberto Murara Neto,41,7.8,7,3.5,0.0,a,1.0,GKP,ARS,25
22,Raheem Sterling,67,21.8,17,1.4,1.7,a,1.19,MID,ARS,25
23,Riccardo Calafiori,58,52.9,36,2.2,0.7,a,1.04,DEF,ARS,25
24,Myles Lewis-Skelly,45,21.7,18,1.5,0.3,a,1.12,MID,ARS,25
25,Mikel Merino,60,79.5,57,3.0,6.0,a,0.94,MID,ARS,25
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS,25
28,Maldini Kacurri,40,0.0,0,0.0,0.0,u,0.0,DEF,ARS,25
29,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS,25
30,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS,25
31,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS,25
32,Mikel Arteta,15,0.0,35,0.0,5.0,a,0.0,,ARS,25
