id,name,cost,ict_index,total_points,form,position,team
1,G.Jesus,70,0.1,0,0.0,FWD,ARS
2,Gabriel,60,2.3,6,6.0,DEF,ARS
3,Havertz,80,12.5,12,12.0,FWD,ARS
5,J.Timber,55,0.8,1,1.0,DEF,ARS
6,Jorginho,50,0.0,0,0.0,MID,ARS
7,Kiwior,50,0.0,0,0.0,DEF,ARS
8,Martinelli,70,7.5,3,3.0,MID,ARS
9,Nelson,50,0.0,0,0.0,MID,ARS
10,Nketiah,60,0.0,0,0.0,FWD,ARS
11,Nwaneri,45,0.0,0,0.0,MID,ARS
12,Ødegaard,85,5.4,3,3.0,MID,ARS
13,Ramsdale,45,0.0,0,0.0,GKP,ARS
